,TITLE,ORCHESTRA,SINGER,STYLE,DATE,COMPOSER,AUTHOR,SOLOIST,DIRECTOR
2952,Evocación (2),Edgardo DONATO,,TANGO,1932-00-00,Osvaldo Donato,,,
2953,Granada,Edgardo DONATO,Teofilo Ibañez,PASODOBLE,1932-00-00,?,?,,
2954,La muerte de Milonguita,Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,?,?,,
2955,La vuelta del malevo,Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,?,?,,
2956,Los piratas,Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,?,?,,
2957,Mariposa inquieta,Edgardo DONATO,Teofilo Ibañez,VALS,1932-00-00,?,?,,
2958,Meca del alma mia,Edgardo DONATO,Teofilo Ibañez,PASODOBLE,1932-00-00,?,?,,
2959,Metanle a las tortas fritas,Edgardo DONATO,Luis Díaz,RANCHERA,1932-00-00,?,?,,
2960,Milonga querida (2),Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,?,?,,
2961,No es manca la paisana,Edgardo DONATO,Teofilo Ibañez,RANCHERA,1932-00-00,?,?,,
2962,Perdónalo señor,Edgardo DONATO,,TANGO,1932-00-00,José de Jesús Pérez Ruiz,José de Jesús Pérez Ruiz,,
2963,Pobre yo,Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,César Petrone,,,
2964,Por qué sos asi,Edgardo DONATO,,TANGO,1932-00-00,Edgardo Donato,Alfredo Bigeschi,,
2965,Qué hacés Ciriaco,Edgardo DONATO,Luis Díaz,RANCHERA,1932-00-00,?,?,,
2966,Se fue la pobre viejita,Edgardo DONATO,,TANGO,1932-00-00,Agustín Magaldi y Pedro Noda,Enrique Cadícamo,,
2967,Sierra española,Edgardo DONATO,Teofilo Ibañez,PASODOBLE,1932-00-00,?,?,,
2968,Sin cariño,Edgardo DONATO,,TANGO,1932-00-00,?,?,,
2969,Sin un adiós (2),Edgardo DONATO,,TANGO,1932-00-00,?,?,,
2970,Taco largo,Edgardo DONATO,Teofilo Ibañez,TANGO,1932-00-00,?,?,,
2971,Tardes porteñas,Edgardo DONATO,Luis Díaz,TANGO,1932-00-00,?,?,,
2972,Volvé,Edgardo DONATO,Mercedes Carne,TANGO,1932-00-00,Edgardo Donato,Luis Bayón Herrera,,
2973,Volvio la pecadora,Edgardo DONATO,Teofilo Ibañez,RANCHERA,1932-00-00,?,?,,
2974,Yo tan sólo veinte años tenía,Edgardo DONATO,,VALS,1932-00-00,Julio César Sanders,Enrique Cadícamo,,
2975,A donde vas tan regalon,Edgardo DONATO,Félix Gutiérrez,RANCHERA,1932-12-09,?,?,,
2976,El huracán,Edgardo DONATO,Félix Gutiérrez,TANGO,1932-12-09,Osvaldo Donato y Edgardo Donato,Nolo López,,
2977,El huracán (b),Edgardo DONATO,Félix Gutiérrez,TANGO,1932-12-09,?,?,,
2978,La llorona,Edgardo DONATO,Félix Gutiérrez,RANCHERA,1933-06-21,?,?,,
2979,Pobre soñador,Edgardo DONATO,Félix Gutiérrez,TANGO,1933-06-21,Edgardo Donato,Julio Romero,,
2980,La novena,Edgardo DONATO,Félix Gutiérrez,TANGO,1933-07-13,Miguel Bonano,Alfredo Bigeschi,,
2981,Veneracion,Edgardo DONATO,,VALS,1933-07-13,?,?,,
2982,El acomodo,Edgardo DONATO,,TANGO,1933-09-11,Edgardo Donato,,,
2983,Triste y sin alpiste,Edgardo DONATO,Félix Gutiérrez,RANCHERA,1933-09-11,?,?,,
2984,Mi porteñita gracil,Edgardo DONATO,Félix Gutiérrez,PASODOBLE,1933-10-31,?,?,,
2985,Santa milonguita,Edgardo DONATO,Félix Gutiérrez,TANGO,1933-10-31,Enrique Delfino,Enrique Cadícamo,,
2986,Penas,Edgardo DONATO,Félix Gutiérrez,VALS,1933-11-29,?,?,,
2987,Qué hacés qué hacés,Edgardo DONATO,Félix Gutiérrez,TANGO,1933-11-29,José Di Clemente,Jesús Fernández Blanco,,
2988,Esto es el colmo,Edgardo DONATO,Antonio Maida,TANGO,1934-01-09,V. Vilardi,Alberto Maraviglia y Leopoldo Amoroso,,
2989,Petrolina y Candelario,Edgardo DONATO,Antonio Maida,RANCHERA,1934-01-09,?,?,,
2990,Abombada,Edgardo DONATO,Randona y coro,RANCHERA,1934-02-09,?,?,,
2991,Ruego,Edgardo DONATO,Antonio Maida y Randona,TANGO,1934-02-09,?,?,,
2992,Noche sevillana,Edgardo DONATO,Antonio Maida,PASODOBLE,1934-03-12,?,?,,
2993,Risas,Edgardo DONATO,Antonio Maida,TANGO,1934-03-12,?,?,,
2994,Sandía calada,Edgardo DONATO,Antonio Maida,RANCHERA,1934-04-25,Arturo Francisco Aieta,Jorge Curi,,
2995,Segui con la caravana,Edgardo DONATO,Antonio Maida,TANGO,1934-04-25,?,?,,
2996,Amores viejos,Edgardo DONATO,Antonio Maida,TANGO,1934-06-05,?,?,,
2997,Pa' semejante candil,Edgardo DONATO,Antonio Maida,RANCHERA,1934-06-05,?,?,,
2998,Berretines,Edgardo DONATO,Antonio Maida,TANGO,1934-06-28,Edgardo Donato,Máximo Orsi,,
2999,Ensalada mixta,Edgardo DONATO,Antonio Maida,RANCHERA,1934-06-28,?,?,,
3000,Riachuelo,Edgardo DONATO,Antonio Maida y Randona,TANGO,1934-06-28,?,?,,
3001,Y llego el amor,Edgardo DONATO,Antonio Maida,VALS,1934-06-28,?,?,,
3002,Soldadito del amor,Edgardo DONATO,Antonio Maida,PASODOBLE,1934-08-09,?,?,,
3003,Una luz en tus ojos,Edgardo DONATO,Antonio Maida y Randona,VALS,1934-08-09,?,?,,
3004,Ladrona de Sevilla,Edgardo DONATO,Antonio Maida,PASODOBLE,1934-09-14,?,?,,
3005,Tierrita,Edgardo DONATO,,TANGO,1934-09-14,Agustín Bardi,Jesús Fernández Blanco,,
3006,Corrales viejos,Edgardo DONATO,Antonio Maida,MILONGA,1934-10-05,Anselmo Aieta,Francisco Laino,,
3007,Miau,Edgardo DONATO,Antonio Maida,RANCHERA,1934-10-05,?,?,,
3008,Quién más quién menos,Edgardo DONATO,Antonio Maida y Randona,TANGO,1934-11-02,Enrique Santos Discépolo,Enrique Santos Discépolo,,
3009,Rosiclor,Edgardo DONATO,Antonio Maida,VALS,1934-11-02,?,?,,
3010,De ande yerba,Edgardo DONATO,Antonio Maida,RANCHERA,1934-12-19,?,?,,
3011,Si te perdés chiflame,Edgardo DONATO,Antonio Maida,TANGO,1934-12-19,Mario Bustos y León Lípesker,Mario Bustos y León Lípesker,,
3012,La caida de la estanteria,Edgardo DONATO,Hugo del Carril,TANGO,1935-02-05,Edgardo Donato,Luis Rubistein,,
3013,Protestona,Edgardo DONATO,Antonio Maida,RANCHERA,1935-02-05,?,?,,
3014,Congoja,Edgardo DONATO,Hugo del Carril,TANGO,1935-02-08,Edgardo Donato,Luis Rubistein,,
3015,La glotona,Edgardo DONATO,Antonio Maida,RANCHERA,1935-02-08,?,?,,
3016,Dejate querer,Edgardo DONATO,,VALS,1935-02-20,?,?,,
3017,Madame Ivonne,Edgardo DONATO,Alberto Gomez,TANGO,1935-02-20,Eduardo Pereyra,Enrique Cadícamo,,
3018,Rosa poneme una ventosa,Edgardo DONATO,Hugo del Carril y Randona,TANGO,1935-03-21,Enrique Delfino,Manuel Romero,,
3019,Vos y yo,Edgardo DONATO,Hugo del Carril,VALS,1935-03-21,?,?,,
3020,El vals de los recuerdos,Edgardo DONATO,Hugo del Carril,VALS,1935-04-04,Homero Manzi y Francisco Pracánico,Homero Manzi y Francisco Pracánico,,
3021,Muchacho de cafetín,Edgardo DONATO,Hugo del Carril,TANGO,1935-04-04,Francisco Pracánico,Homero Manzi,,
3022,La cumparsita,Edgardo DONATO,,TANGO,1935-05-06,Gerardo Matos Rodriguez,Pascual Contursi y Enrique Maroni,,
3023,Mi morena,Edgardo DONATO,Hugo del Carril,PASODOBLE,1935-05-06,?,?,,
3024,Mi tristeza,Edgardo DONATO,Hugo del Carril,TANGO,1935-05-06,?,?,,
3025,San Sebastian,Edgardo DONATO,Hugo del Carril,PASODOBLE,1935-05-06,?,?,,
3026,Dios lo sabe,Edgardo DONATO,Juan Alessio,TANGO,1935-06-13,Antonio Polito,Antonio Polito,,
3027,El día que me quieras,Edgardo DONATO,Juan Alessio,TANGO,1935-06-13,Carlos Gardel,Alfredo Le Pera,,
3028,Picaflor,Edgardo DONATO,Juan Alessio,TANGO,1935-07-03,?,?,,
3029,Rosalinda,Edgardo DONATO,Juan Alessio,VALS,1935-07-03,?,?,,
3030,De mis pagos,Edgardo DONATO,,RANCHERA,1935-07-17,?,?,,
3031,Hola qué tal,Edgardo DONATO,Juan Alessio,TANGO,1935-07-17,?,?,,
3032,Aleluya (3),Edgardo DONATO,Juan Alessio,MARCHA,1935-08-09,?,?,,
3033,Lejana tierra mía,Edgardo DONATO,Juan Alessio,TANGO,1935-08-09,Carlos Gardel,Alfredo Le Pera,,
3034,Doña Maribiga,Edgardo DONATO,Horacio Lagos,RANCHERA,1935-08-28,?,?,,
3035,El zorzal (2),Edgardo DONATO,Horacio Lagos,TANGO,1935-08-28,?,?,,
3036,Hay que acomodarse,Edgardo DONATO,Horacio Lagos,TANGO,1935-10-11,Edgardo Donato,Antonio Botta,,
3037,Mi Sevilla,Edgardo DONATO,Horacio Lagos,PASODOBLE,1935-10-11,?,?,,
3038,Che Carolina,Edgardo DONATO,Horacio Lagos,RANCHERA,1935-11-20,?,?,,
3039,Elegante papirusa,Edgardo DONATO,,TANGO,1935-11-20,Tito Roccatagliata,,,
3040,Chiqué,Edgardo DONATO,,TANGO,1936-01-17,Ricardo Luis Brignolo,Ricardo Luis Brignolo,,
3041,Tengo flor y no lo niego,Edgardo DONATO,Horacio Lagos,RANCHERA,1936-01-17,?,?,,
3042,La tapera,Edgardo DONATO,Félix Gutiérrez,VALS,1936-03-10,Osvaldo Donato,Sergio Sosa,,
3043,Mañana,Edgardo DONATO,Félix Gutiérrez,TANGO,1936-03-10,Edgardo Donato,Ivo Pelay,,
3044,Pura chispa,Edgardo DONATO,Félix Gutiérrez,TANGO,1936-05-07,Edgardo Donato,Iván Diez,,
3045,Secreto de amor,Edgardo DONATO,Félix Gutiérrez,VALS,1936-05-07,José Vázquez Vigo y Luis Gaulier,Luis César Amadori,,
3046,Belén,Edgardo DONATO,,TANGO,1936-06-10,Augusto Berto,,,
3047,Embrujo gitano,Edgardo DONATO,Horacio Lagos,TANGO,1936-06-10,?,?,,
3048,Si tu supieras (2),Edgardo DONATO,Horacio Lagos,TANGO,1936-07-01,?,?,,
3049,Solo un recuerdo,Edgardo DONATO,Horacio Lagos,VALS,1936-07-01,?,?,,
3050,Gallito,Edgardo DONATO,,PASODOBLE,1936-08-06,?,?,,
3051,La tablada,Edgardo DONATO,,TANGO,1936-08-06,Francisco Canaro,,,
3052,Me voy a baraja,Edgardo DONATO,Horacio Lagos,TANGO,1936-09-10,José Testa y Eduardo Banti,Epifanio Severiano Orozco,,
3053,Sombras del ayer,Edgardo DONATO,Horacio Lagos,VALS,1936-09-10,?,?,,
3054,Adios a Gardel,Edgardo DONATO,Horacio Lagos,CORRIDO,1936-10-07,?,?,,
3055,Se va la vida,Edgardo DONATO,Horacio Lagos,TANGO,1936-10-07,Edgardo Donato,María Luisa Carnelli,,
3056,No te cases,Edgardo DONATO,Horacio Lagos,TANGO,1937-01-23,?,?,,
3057,Pierrot apasionado,Edgardo DONATO,Horacio Lagos,MARCHA,1937-01-23,?,?,,
3058,Así es el tango,Edgardo DONATO,Horacio Lagos,TANGO,1937-02-12,Edgardo Donato,Homero Manzi,,
3059,Gato,Edgardo DONATO,Horacio Lagos,TANGO,1937-02-12,Edgardo Donato,Homero Manzi,,
3060,Hacete cartel,Edgardo DONATO,Horacio Lagos,TANGO,1937-07-16,?,?,,
3061,Maria (4),Edgardo DONATO,Horacio Lagos,VALS,1937-07-16,?,?,,
3062,Papas calientes,Edgardo DONATO,,TANGO,1937-11-29,Eduardo Arolas,,,
3063,Virgencita,Edgardo DONATO,Horacio Lagos,VALS,1937-11-29,?,?,,
3064,El estagiario,Edgardo DONATO,,TANGO,1938-02-05,Martín Lasala Álvarez,,,
3065,La milonga que faltaba,Edgardo DONATO,Horacio Lagos,MILONGA,1938-02-05,Edgardo Donato,Carlos Pesce,,
3066,Qué será?,Edgardo DONATO,Horacio Lagos,VALS,1938-03-09,Pepe Guízar,?,,
3067,Sacale punta,Edgardo DONATO,Horacio Lagos,MILONGA,1938-03-09,Osvaldo Donato,Sandalio Gómez,,
3068,Con tus besos,Edgardo DONATO,Horacio Lagos,VALS,1938-04-02,Santiago Ricci,Domingo Rosa,,
3069,El adiós,Edgardo DONATO,Horacio Lagos,TANGO,1938-04-02,Maruja Pacheco Huergo,Virgilio San Clemente,,
3070,Te gané de mano,Edgardo DONATO,Horacio Lagos y Randona,TANGO,1938-07-06,?,?,,
3071,Tiempos bravos,Edgardo DONATO,,TANGO,1938-07-06,Salvador Grupillo,,,
3072,Cantando bajito,Edgardo DONATO,,TANGO,1938-08-29,Alfonso Lacueva,,,
3073,Vivo sin sombra lejos de ti,Edgardo DONATO,Horacio Lagos,VALS,1938-08-29,Edgardo Donato,Carlos Pesce,,
3074,El chamuyo,Edgardo DONATO,,TANGO,1938-10-10,Francisco Canaro,,,
3075,Ella es así,Edgardo DONATO,Horacio Lagos,MILONGA,1938-10-10,Luis Martino,Manuel Carretero,,
3076,Alas rotas,Edgardo DONATO,Horacio Lagos,TANGO,1938-12-09,Edgardo Donato,Maruja Pacheco Huergo,,
3077,Embrujo,Edgardo DONATO,Horacio Lagos,PASODOBLE,1938-12-09,?,?,,
3078,La mimada,Edgardo DONATO,Horacio Lagos,MILONGA,1939-01-26,Miguel Andrés Fama,Miguel Andrés Fama,,
3079,Para qué,Edgardo DONATO,Horacio Lagos,TANGO,1939-01-26,Osvaldo Borroni y Armando Tagini,,,
3080,De punta a punta,Edgardo DONATO,Horacio Lagos,MILONGA,1939-03-06,Osvaldo Donato,Sandalio Gómez,,
3081,Lágrimas,Edgardo DONATO,Horacio Lagos,TANGO,1939-03-06,Edgardo Donato,Maruja Pacheco Huergo,,
3082,Carnaval de mi barrio,Edgardo DONATO,Lita Morales y Horacio Lagos,TANGO,1939-03-27,Luis Rubistein,Luis Rubistein,,
3083,Sinsabor,Edgardo DONATO,Lita Morales y Horacio Lagos,TANGO,1939-03-27,Ascanio Donato,César Vedani,,
3084,Sombra gaucha,Edgardo DONATO,Lita Morales y Horacio Lagos,TANGO,1939-03-27,Héctor Baldi,Alberto Pellegrini,,
3085,Madrecita,Edgardo DONATO,Horacio Lagos,VALS,1939-06-05,José Pollicita y Alfonso Lacueva,José Pollicita y Alfonso Lacueva,,
3086,Pasión criolla,Edgardo DONATO,,TANGO,1939-08-02,Salvador Grupillo,,,
3087,Trinia,Edgardo DONATO,Lita Morales,PASODOBLE,1939-08-02,?,?,,
3088,Chapaleando barro,Edgardo DONATO,Lita Morales y Horacio Lagos,TANGO,1939-08-31,?,?,,
3089,Soy mendigo,Edgardo DONATO,Horacio Lagos,TANGO,1939-08-31,Edgardo Donato,Adolfo Vedani,,
3090,El torito,Edgardo DONATO,,MILONGA,1939-11-14,Ángel Villoldo,Ángel Villoldo,,
3091,Noches correntinas,Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,1939-11-14,Juan Giliberti,Juan Giliberti,,
3092,Mi serenata,Edgardo DONATO,Romeo Gavio y Lita Morales,TANGO,1940-01-11,Edgardo Donato,Juan Carlos Thorry,,
3093,Volverás pero cuándo,Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,1940-01-11,Sebastián Piana,Homero Manzi,,
3094,Luna (2),Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,1940-01-24,Osvaldo Donato,Sandalio Gómez,,
3095,Triqui tra,Edgardo DONATO,Lita Morales,TANGO,1940-01-24,?,?,,
3096,Campo afuera,Edgardo DONATO,Horacio Lagos,MILONGA,1940-04-05,Rodolfo Biagi,Homero Manzi,,
3097,Sinfonía de arrabal,Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,TANGO,1940-04-05,Maruja Pacheco Huergo,Maruja Pacheco Huergo,,
3098,La melodía del corazón,Edgardo DONATO,Romeo Gavio,TANGO,1940-04-30,Fioravanti Di Cicco y Héctor Artola,Carmelo Santiago,,
3099,Porteña linda,Edgardo DONATO,Horacio Lagos,MILONGA,1940-04-30,Edgardo Donato,Horacio Sanguinetti,,
3100,Diablesa,Edgardo DONATO,Horacio Lagos,VALS,1940-07-18,?,?,,
3101,El distinguido ciudadano,Edgardo DONATO,,TANGO,1940-07-18,Peregrino Paulos,,,
3102,Estrellita mía,Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,1940-09-30,Alberto Soifer,Roberto Ratto,,
3103,Yo te amo,Edgardo DONATO,Romeo Gavio y Lita Morales,TANGO,1940-09-30,Edgardo Donato,Carlos Lenzi,,
3104,Fue mi salvación,Edgardo DONATO,Horacio Lagos,TANGO,1940-11-22,Ascanio Donato,Alberto Cosentino,,
3105,Virgencita milagrosa,Edgardo DONATO,Lita Morales,PASODOBLE,1940-11-22,?,?,,
3106,El lengue,Edgardo DONATO,,MILONGA,1940-12-13,Edgardo Donato,,,
3107,Sentir del corazon,Edgardo DONATO,Horacio Lagos y Romeo Gavio,MILONGA,1940-12-13,Benito Atella,?,,
3108,Deja el mundo como está,Edgardo DONATO,Horacio Lagos,TANGO,1941-01-21,Rodolfo Biagi,Rodolfo Sciammarella,,
3109,La shunca,Edgardo DONATO,Lita Morales y Horacio Lagos y Romeo Gavio,VALS,1941-01-21,?,?,,
3110,Amando en silencio,Edgardo DONATO,Horacio Lagos y Romeo Gavio,TANGO,1941-02-05,José Pécora,Francisco García Jiménez,,
3111,La morena de mi copla,Edgardo DONATO,Lita Morales,PASODOBLE,1941-02-05,?,?,,
3112,Mis pesares,Edgardo DONATO,Horacio Lagos,TANGO,1941-02-18,Edgardo Donato,Carlos Pesce,,
3113,Repique del corazón,Edgardo DONATO,Horacio Lagos y Romeo Gavio,MILONGA,1941-02-18,Osvaldo Donato,José Rótulo,,
3114,A oscuras,Edgardo DONATO,Horacio Lagos,TANGO,1941-06-11,Ascanio Donato,Héctor Marcó,,
3115,Organillero,Edgardo DONATO,Horacio Lagos,MARCHA,1941-06-11,?,?,,
3116,No se haga mala sangre,Edgardo DONATO,Lita Morales y Horacio Lagos,POLCA,1941-07-21,?,?,,
3117,Te busco,Edgardo DONATO,Horacio Lagos,TANGO,1941-07-21,Edgardo Donato,Héctor Marcó,,
3118,Mañana sera la mia,Edgardo DONATO,Lita Morales y Horacio Lagos,VALS,1941-08-06,?,?,,
3119,Un libro,Edgardo DONATO,Horacio Lagos,TANGO,1941-08-06,Osvaldo Donato,Ricardo Olcese,,
3120,A media luz,Edgardo DONATO,Horacio Lagos,TANGO,1941-10-13,Edgardo Donato,Carlos Lenzi,,
3121,Quién será,Edgardo DONATO,Horacio Lagos,VALS,1941-10-13,Luis Visca,Luis Rubistein,,
3122,Cara negra,Edgardo DONATO,Horacio Lagos,MILONGA,1942-03-11,Edgardo Donato,José Rótulo,,
3123,Mishiadura,Edgardo DONATO,,TANGO,1942-03-11,Eduardo Arolas,,,
3124,Parece ayer,Edgardo DONATO,Horacio Lagos,TANGO,1942-05-28,Edgardo Donato,José María Contursi,,
3125,Tu confidencia,Edgardo DONATO,Romeo Gavio,TANGO,1942-05-28,Mauricio Misé y Romeo Gavioli,José Rótulo,,
3126,Lonjazos (Rezo gaucho),Edgardo DONATO,Horacio Lagos y Romeo Gavio,TANGO,1942-08-06,?,?,,
3127,Mendocina,Edgardo DONATO,Romeo Gavio,VALS,1942-08-06,Miguel Bruno,Benigno Palmeiro,,
3128,El lecherito,Edgardo DONATO,Daniel Adamo y Jorge Denis,MILONGA,1944-03-23,Edgardo Donato,Horacio Sanguinetti,,
3129,La gran aldea,Edgardo DONATO,Jorge Denis,TANGO,1944-03-23,?,?,,
3130,Demasiado tarde,Edgardo DONATO,Roberto Beltran,TANGO,1945-00-00,Francisco Troppoli,Agustín Horacio Delamónica,,
3131,Sin palabras,Edgardo DONATO,Osvaldo Morel,TANGO,1945-00-00,Mariano Mores,Enrique Santos Discepolo,,
3132,Una vez,Edgardo DONATO,Osvaldo Morel,TANGO,1945-00-00,Osvaldo Pugliese,Cátulo Castillo,,
3133,La de los ojos tristes,Edgardo DONATO,Pablo Lozano,TANGO,1945-03-21,Edgardo Donato,Héctor Marcó,,
3134,Barrio tranquilo,Edgardo DONATO,Pablo Lozano,TANGO,1945-03-23,Arturo Gallucci,Victorino Velázquez,,
3135,Portero suba y diga,Edgardo DONATO,Roberto Beltran,TANGO,1945-06-28,Eduardo de Labar (h),Luis César Amadori,,
3136,Pregonera,Edgardo DONATO,Alberto Podestá,TANGO,1945-06-28,Alfredo De Angelis,José Rótulo,,
3137,Che bandoneon,Edgardo DONATO,Carlos Almada,TANGO,1950-04-14,Aníbal Troilo,Homero Manzi,,
3138,El huracán,Edgardo DONATO,Carlos Almada,TANGO,1950-04-14,Osvaldo Donato y Edgardo Donato,Nolo López,,
3139,A media luz,Edgardo DONATO,Carlos Almada,TANGO,1950-07-07,Edgardo Donato,Carlos Lenzi,,
3140,Mamboreta,Edgardo DONATO,Carlos Almada,TANGO,1950-07-07,María Isolina Godard,Francisco García Jiménez,,
3141,Jorge Duval,Edgardo DONATO,,TANGO,1950-08-14,Alfredo De Angelis,,,
3142,Pituca,Edgardo DONATO,Carlos Almada,TANGO,1950-08-14,Enrique Cadícamo,Rogelio Ferreyra,,
3143,Por qué no me besas,Edgardo DONATO,Adolfo Rivas,VALS,1950-10-13,Francisco Caso,Homero Manzi,,
3144,Se va la vida,Edgardo DONATO,Carlos Almada,TANGO,1950-10-16,Edgardo Donato,María Luisa Carnelli,,
3145,Julián,Edgardo DONATO,,TANGO,1950-12-01,Edgardo Donato,José Panizza,,
3146,Qué fenómeno,Edgardo DONATO,Carlos Almada,TANGO,1950-12-01,Anselmo Aieta,Enrique Dizeo,,
3147,Cómo se pianta la vida,Edgardo DONATO,Carlos Almada,TANGO,1950-12-26,Carlos Viván,Carlos Viván,,
3148,Tu desprecio,Edgardo DONATO,Adolfo Rivas,TANGO,1950-12-26,?,?,,
3149,Mi virgencita de lujan,Edgardo DONATO,Hugo Roca,VALS,1951-06-06,?,?,,
3150,Patio de la morocha,Edgardo DONATO,Carlos Almada,TANGO,1951-06-06,?,?,,
3151,Cartón ligador,Edgardo DONATO,,TANGO,1951-09-17,Edgardo Donato,,,
3152,El camión,Edgardo DONATO,Carlos Almada,TANGO,1951-09-17,?,?,,
3153,El vinacho,Edgardo DONATO,Carlos Almada,MILONGA,1951-09-17,?,?,,
3154,Por qué doblan las campanas,Edgardo DONATO,Carlos Almada,TANGO,1951-09-17,Alfredo De Angelis,José Rótulo,,
3155,Muchacho,Edgardo DONATO,Carlos Almada,TANGO,1951-11-13,Edgardo Donato,Celedonio Flores,,
3156,Un mal dia,Edgardo DONATO,Carlos Almada,TANGO,1951-11-13,?,?,,
3157,El acomodo,Edgardo DONATO,,TANGO,1952-01-18,Edgardo Donato,,,
3158,Pensa lo que has hecho,Edgardo DONATO,Carlos Almada,TANGO,1952-01-18,?,?,,
3159,Preparate pa'l domingo,Edgardo DONATO,Carlos Almada,TANGO,1952-01-18,Guillermo Barbieri,José Rial,,
3160,Mi serenata,Edgardo DONATO,Alberto Podestá y Carlos Almada,TANGO,1952-06-25,Edgardo Donato,Juan Carlos Thorry,,
3161,Será una noche,Edgardo DONATO,Carlos Almada,TANGO,1952-06-25,José Tinelli,Manuel Ferradás Campos,,
3162,Oyeme mamá,Edgardo DONATO,Carlos Almada,TANGO,1952-07-25,Armando Baliotti,Julio Jorge Nelson,,
3163,Papas calientes,Edgardo DONATO,,TANGO,1952-07-25,Eduardo Arolas,,,
3164,Por una mujer,Edgardo DONATO,Carlos Almada,VALS,1952-10-18,Enrique Maciel,Enrique Maroni,,
3165,El huracán,Edgardo DONATO,,TANGO,1952-11-04,Osvaldo Donato y Edgardo Donato,Nolo López,,
3166,Para qué,Edgardo DONATO,,TANGO,1952-11-04,Osvaldo Borroni y Armando Tagini,,,
3167,Apronte,Edgardo DONATO,Roberto Morel,MILONGA,1953-01-02,Carlos Mayel,Celedonio Flores,,
3168,Berretines de bacana,Edgardo DONATO,Roberto Morel,TANGO,1953-01-02,?,?,,
3169,Sangre de mi sangre,Edgardo DONATO,Raul Angelo,TANGO,1953-04-24,Reinaldo Yiso y Juan Manuel Mañueco,Reinaldo Yiso y Juan Manuel Mañueco,,
3170,Un poco tarde,Edgardo DONATO,Roberto Morel,TANGO,1953-04-24,?,?,,
3171,El descolao,Edgardo DONATO,Roberto Morel,TANGO,1953-06-25,?,?,,
3172,Sabado Inglés,Edgardo DONATO,,TANGO,1953-07-25,Juan Maglio,,,
3173,TBC,Edgardo DONATO,Roberto Morel y Raul Angelo,TANGO,1953-08-11,Ascanio Donato,Víctor Soliño y Roberto Fontaina,,
3174,Una cancion,Edgardo DONATO,Roberto Morel,TANGO,1953-08-11,Aníbal Troilo,Catulo Castillo,,
3175,Pa'l nene,Edgardo DONATO,Roberto Morel,TANGO,1953-11-27,?,?,,
3176,Por eso canto así,Edgardo DONATO,Raul Angelo,TANGO,1953-11-27,Luis Pereyra,Antonio Cantó,,
3177,El pollito,Edgardo DONATO,,TANGO,1954-06-10,Francisco Canaro,,,
3178,Que globera,Edgardo DONATO,Roberto Morel,TANGO,1954-06-10,?,?,,
3179,Fuegos artificiales,Edgardo DONATO,,TANGO,1954-12-17,Roberto Firpo y Eduardo Arolas,,,
3180,Yo nací para Palermo,Edgardo DONATO,Roberto Morel,TANGO,1954-12-17,Carlos Mayel y Roberto Morel,Modesto Botti,,
3181,Fue mi salvación,Edgardo DONATO,Roberto Morel,TANGO,1955-03-25,Ascanio Donato,Alberto Cosentino,,
3182,Has llegado,Edgardo DONATO,Roberto Morel,VALS,1955-03-25,?,?,,
3183,El disloque,Edgardo DONATO,Roberto Morel,TANGO,1955-06-10,?,?,,
3184,Novia de pueblo,Edgardo DONATO,Roberto Morel,TANGO,1955-06-10,?,?,,
3185,Desorientado,Edgardo DONATO,Oscar Peralta,TANGO,1955-12-14,Miguel Caló,Marvil,,
3186,Volvé,Edgardo DONATO,Nilda Marino,TANGO,1955-12-14,Edgardo Donato,Luis Bayón Herrera,,
3187,Historia de un amor,Edgardo DONATO,Oscar Peralta,TANGO,1956-04-05,Carlos Almarán,Carlos Almarán,,
3188,Sencillo pero vistoso,Edgardo DONATO,,TANGO,1956-04-16,Orlando Calautti,,,
3189,El chupete,Edgardo DONATO,,TANGO,1956-06-21,Ricardo Gaudenzio,Antonio Polito,,
3190,Lágrimas,Edgardo DONATO,Oscar Peralta,TANGO,1956-06-21,Edgardo Donato,Maruja Pacheco Huergo,,
3191,Doble condena,Edgardo DONATO,Oscar Peralta,TANGO,1956-08-24,?,?,,
3192,Manantial,Edgardo DONATO,,TANGO,1956-10-02,Luis Pereyra,,,
3193,El lengue,Edgardo DONATO,,TANGO,1957-03-19,Edgardo Donato,,,
3194,Rosa de fuego,Edgardo DONATO,Alberto Aguirre,TANGO,1957-03-19,Manuel Jovés,Antonio Viergol,,
3195,Levantade y anda,Edgardo DONATO,Oscar Peralta,TANGO,1957-08-08,?,?,,
3196,Y te fuiste a Buanos Aires,Edgardo DONATO,Alberto Aguirre,TANGO,1957-08-08,?,?,,
3197,Naranjerita,Edgardo DONATO,Alberto Aguirre,CANCION,1958-08-24,?,?,,
3198,Cosita linda,Edgardo DONATO,Alberto Aguirre,TANGO,1958-10-02,?,?,,
