,Title,Vocalist(s),Instrumentalist(s),Year,Mo,Da,Genre
7103,Esa es la puerta,Roberto Goyeneche,Armando Pontier,,,,tango
7104,Esa es la puerta,Roberto Goyeneche,Armando Pontier,1969,08,11,tango
7105,Esa es mi patria,Francisco Amor,Francisco Canaro,1939,10,13,gato estilizado
7106,Esa es mi patria,Francisco Amor,Francisco Canaro,1958,09,04,gato estilizado
7107,Esa muchacha,Omar Quiroz,Enrique Rodríguez,1955,12,07,fox trot
7108,Esa noche,Julio Martel,Alfredo De Angelis,1946,05,24,vals
7109,Esa noche,"Carlos Vidal, Oscar Larroca",Domingo Federico,1946,07,22,vals
7110,Esa que pasó,Roberto Díaz,Orquesta Típica Victor,1929,09,19,tango
7111,Esas cosas del corazón,Luis Correa,Héctor Varela,,,,tango
7112,Esas cosas del corazón,Luis Correa,Héctor Varela,,,,tango
7113,Esas no volverán,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,canción
7114,Esas no volverán,Carlos Gardel,José Ricardo,,,,canción
7115,Esas no volveran (imitacion bequeriana),Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,canción
7116,Esas no volveran (imitacion bequeriana),Carlos Gardel,José Ricardo,,,,canción
7117,Escarcha,"Carlos Vidal, Oscar Larroca",Domingo Federico,1948,03,05,tango
7118,Esclavas blancas,Jorge Vidal,,,,,tango
7120,Esclavas blancas,Carlos Gardel,"Ángel Domingo Riverol, Domingo Julio Vivas, Guillermo Barbieri",1931,09,16,tango
7121,Esclavas blancas,Teresita Asprella,"Eduardo Bianco, Bachicha",1928,01,26,tango
7122,Esclavas blancas,Agustín Irusta,Francisco Canaro,1932,05,04,tango
7123,Esclavas blancas,Floreal Ruíz,Francisco Rotundo,1950,12,29,tango
7124,Esclavas blancas,-unspecified male-,,,,,tango
7125,Esclavas blancas,Alberto Reynal,Juan D'Arienzo,1940,12,12,tango
7126,Esclavo,Jorge Omar,Francisco Lomuto,1937,01,07,tango
7127,Esclavo,Charlo,-unspecified guitars-,1935,01,11,tango
7128,Esclavo,Charlo,-unspecified guitars-,1937,01,11,tango
7129,Esclavo de tu piel,Lucho Gatica,,,,,bolero
7130,Esclavo de tu piel,,Florindo Sassone,1960,06,21,tango
7131,Esclavo de tu piel,Susana Moreno,Roberto Casal,1961,07,03,tango
7132,Escolaso,Edmundo Rivero,-unspecified guitars-,,,,tango
7133,Escríbeme,Cholo Aguirre,Juan Sánchez Gorio,1958,09,10,tango
7134,Escríbeme,Alberto Diale,Roberto Firpo,1942,07,21,tango
7135,Escríbeme,Ignacio Murillo,Roberto Firpo,1942,07,21,tango
7136,Escribile al comisario,Charlo,Francisco Canaro,1931,06,24,tango
7137,Escucha madrecita,Tania,Alberto Castellano,,,,tango
7138,Escuchá tango,Jorge Valdez,Juan D'Arienzo,1962,09,06,tango
7139,Escuchame che globero,Charlo,Francisco Lomuto,1929,07,05,tango
7140,Escucháme Manón,Roberto Chanel,Osvaldo Pugliese,1947,06,10,tango
7141,Escuchame negra,Charlo,Francisco Canaro,1928,03,14,tango
7142,Escuchame negra,Charlo,-unspecified guitars-,1929,06,15,tango
7143,Escuela de mi barrio,Ricardo Ruiz,Gabriel Clausi,,,,vals
7144,Escuela de tango,Rubén Juárez,Rubén Juárez,,,,tango
7145,Ese cielo azul,-unspecified male-,,,,,electro
7146,Ese cielo azul,Adriana Varela,,,,,tango
7147,Ese extraño azul,Lidia Borda,,,,,tango
7148,Ese extraño azul,Lidia Borda,San Telmo Lounge,,,,electro
7149,Ese muchacho Tony,Eladia Blázquez,,,,,?
7150,Ese muchacho Tony,Eladia Blázquez,Atilio Stampone,,,,?
7151,Ese muchacho Troilo,Roberto Goyeneche,"Ernesto Baffa, Osvaldo Berlingieri",,,,tango
7152,Ese sos vos,Alberto Castillo,Ricardo Tanturi,1941,12,23,tango
7153,Esfinge,Charlo,Francisco Canaro,1929,05,22,fox trot
7154,Esfinge,Charlo,Francisco Canaro,1929,06,06,fox trot
7155,Esmeralda,"Roberto Medina, Roberto Taibo",Julio De Caro,1951,11,16,vals
7156,Esmeralda,Rafael Cisca,Pedro Maffia,,,,tango
7157,Esmeralda,Ignacio Corsini,-unspecified guitars-,,,,tango
7158,Esmeralda,Ignacio Corsini,-unspecified guitars-,,,,tango
7159,Eso,Armando Moreno,Enrique Rodríguez,1960,08,05,fox trot
7160,Eso es el amor,Jorge Maciel,,1968,04,08,tango
7161,Eso es mentira,Libertad Lamarque,,,,,tango
7162,Eso si que no y que no,Armando Laborde,Juan D'Arienzo,1967,08,02,tango
7163,España de mis cantares,Alberto Gómez,Adolfo Carabelli,1932,06,16,paso doble
7164,España mía,Ada Falcón,Francisco Canaro,1931,06,12,paso doble
7165,España mía,Charlo,Francisco Canaro,1931,06,12,paso doble
7166,España y Argentina,Ernesto Famá,Francisco Canaro,1939,04,13,paso doble
7167,Española rebonita,Alberto Gómez,Adolfo Carabelli,1932,03,07,paso doble
7168,Española rebonita,Fernando Díaz,Francisco Lomuto,1932,06,20,paso doble
7169,Española rebonita,Alberto Gómez,-unspecified guitars-,,,,paso doble
7170,Espejito,Ignacio Corsini,-unspecified guitars-,,,,tango
7171,Espera de esquina,Roberto Videla,Ricardo Tanturi,1946,05,16,tango
7172,Espérame en el cielo,Lucho Gatica,,,,,bolero
7173,Espérame en el cielo,Roberto Rufino,Enrique Francini,1957,04,03,tango
7174,Espérame en el cielo,,,,,,tango
7175,Espérame en el cielo,Hugo Duval,Rodolfo Biagi,1958,05,24,tango
7176,Espérame en el cielo,Oscar Serpa,Los señores del tango,,,,tango
7177,Esperando,Mercedes Simone,,1938,06,28,canción
7178,Esperanza,Félix Gutiérrez,Francisco Canaro,1932,08,25,tango
7179,Esperar,Ranko Fujisawa,,,,,vals
7180,Esperar,Roberto Ray,Osvaldo Fresedo,1937,08,02,vals
7181,Esperar,Tania,-unspecified orchestra-,1937,07,21,vals
7182,Esponjita,,Orquesta Típica Porteña,1930,01,27,tango
7183,Espuma de mar,Luis Díaz,Julio De Caro,,,,tango
7184,Esquelas,Luis Díaz,Julio De Caro,,,,tango
7185,Esquelas,Luis Díaz,Julio De Caro,,,,tango
7186,Esquinas porteñas,Mercedes Simone,,,,,vals
7187,Esquinas porteñas,Mercedes Simone,,1934,04,25,vals
7189,Esquinas porteñas,Ángel Vargas,Ángel D'Agostino,1942,05,22,vals
7190,Esquinas porteñas,Rubén Cané,Ángel D'Agostino,1953,02,02,vals
7191,Esquinas porteñas,Mercedes Simone,Emilio Brameri,,,,vals
7192,Esquinas porteñas,Ernesto Famá,Francisco Canaro,1934,03,27,vals
7193,Esquinas porteñas,Fernando Díaz,Francisco Lomuto,1934,03,23,vals
7194,Esquinas porteñas,Roberto Goyeneche,,1983,12,06,vals
7195,Esquinas porteñas,-unspecified male-,,,,,vals
7196,Esquinas porteñas,Héctor Mauré,-unspecified guitars-,,,,vals
7197,Esquinas porteñas,Héctor Mauré,-unspecified guitars-,,,,vals
7198,Esquinas porteñas,Ignacio Corsini,-unspecified guitars-,1934,04,27,vals
7199,Esquinas porteñas,Mercedes Simone,-unspecified orchestra-,1934,04,25,vals
7200,Esquinita,Agustín Magaldi,-unspecified guitars-,,,,tango
7201,Esta ciudad,,,,,,tango
7202,Esta ciudad,Jorge Maciel,Osvaldo Pugliese,,,,tango
7203,Esta es mi calle,Alberto Castillo,Emilio Balcarce,1944,08,08,tango
7204,Esta es mi patria,Alberto Gómez,,,,,tango
7205,Esta es mi patria,Alberto Gómez,José Canet,,,,tango
7206,Esta es mi presentación,Daniel Melingo,Daniel Melingo,,,,tango
7207,Esta noche,Carlos Boledi,Alfredo De Angelis,,,,tango
7208,Esta noche,,Federico Aubele,,,,electro
7209,Esta noche,-unspecified female-,Federico Aubele,,,,electro
7210,Esta noche,Ernesto Famá,Francisco Canaro,1940,03,14,tango
7211,Esta noche,Héctor Farrel,Julio De Caro,1939,10,07,tango
7212,Esta noche,Roberto Taibo,Julio De Caro,1953,08,05,tango
7213,Esta noche,Carlos Mayel,Osvaldo Fresedo,1940,04,20,tango
7214,Esta noche al pasar,Jorge Linares,Pedro Laurenz,1944,08,07,tango
7215,Esta noche al pasar,Enrique Campos,Ricardo Tanturi,1945,01,22,tango
7216,Esta noche de copas,Jorge Falcón,,,,,tango
7217,Esta noche de copas,Fontán Reyes,Héctor Varela,1958,01,02,tango
7218,Esta noche de copas,Jorge Falcón,Héctor Varela,,,,tango
7219,Esta noche de luna,Carlos Nogués,,,,,tango
7220,Esta noche de luna,Libertad Lamarque,,,,,tango
7221,Esta noche de luna,Alberto Marino,,,,,tango
7222,Esta noche de luna,Carlos Nogués,Alfredo J. Gobbi,,,,tango
7223,Esta noche de luna,Libertad Lamarque,Alfredo Malerba,1944,05,21,tango
7224,Esta noche de luna,Roberto Rufino,Carlos Di Sarli,1943,12,17,tango
7225,Esta noche de luna,Carlos Roldán,Francisco Canaro,1944,06,26,tango
7226,Esta noche de luna,Nina Miranda,Graciano Gómez,,,,tango
7227,Esta noche de luna,Nina Miranda,Graciano Gómez,,,,tango
7228,Esta noche de luna,Alfredo Rojas,José García,1943,11,12,tango
7229,Esta noche de luna,Roberto Medina,Julio De Caro,1951,07,16,tango
7230,Esta noche de luna,,Julio De Caro,1951,07,16,tango
7231,Esta noche de luna,Libertad Lamarque,Mario Maurano,,,,tango
7232,Esta noche de luna,Jorge Maciel,Osvaldo Pugliese,1955,09,02,tango
7233,Esta noche de luna,Jorge Maciel,Osvaldo Pugliese,,,,tango
7234,Esta noche en Buenos Aires,Ángel Vargas,Ángel D'Agostino,1944,01,31,tango
7235,Esta noche en Buenos Aires,Alberto Serna,Antonio Rodio,1944,07,16,tango
7236,Esta noche en Buenos Aires,Oscar Nelson,Orquesta Puglia-Pedroza,,,,tango
7237,Esta noche es nuestra,Alberto Marino,-unspecified orchestra-,,,,tango
7238,Esta noche estoy de tango,,,,,,tango
7239,Esta noche hay una fiesta,Enrique Campos,Ricardo Tanturi,1946,03,13,tango
7240,Esta noche he de cantar,Alberto Vila,Orquesta Típica Porteña,1931,06,05,tango
7241,Esta noche he de cantar,,Orquesta Típica Porteña,1931,06,05,tango
7242,Esta noche me despido,Carlos Dante,Alfredo De Angelis,1949,05,12,tango
7243,Esta noche Me Disfrazo,Mercedes Simone,,,,,
7244,Esta noche me disfrazo,Mercedes Simone,-unspecified orchestra-,,,,tango
7245,Esta noche me disfrazo,Mercedes Simone,-unspecified orchestra-,,,,tango
7246,Esta noche me emborracho,Alberto Vila,,,,,tango
7247,Esta noche me emborracho,Armando Moreno,,,,,tango
7248,Esta noche me emborracho,Alberto Echagüe,,,,,tango
7249,Esta noche me emborracho,Edmundo Rivero,,,,,tango
7250,Esta noche me emborracho,Hugo del Carril,,,,,tango
7251,Esta noche me emborracho,Hugo del Carril,,,,,tango
7252,Esta noche me emborracho,Susana Rinaldi,,,,,tango
7253,Esta noche me emborracho,Azucena Maizani,,1928,04,14,tango
7254,Esta noche me emborracho,,Atilio Stampone,,,,tango
7255,Esta noche me emborracho,Hugo del Carril,Armando Pontier,,,,tango
7256,Esta noche me emborracho,Carlos Roldán,Donato Racciatti,,,,tango
7257,Esta noche me emborracho,Carlos Roldán,Donato Racciatti,,,,tango
7258,Esta noche me emborracho,Alberto Castillo,Enrique Alessio,1946,07,11,tango
7259,Esta noche me emborracho,Azucena Maizani,"Enrique Delfino, Manuel Parada",,,,tango
7260,Esta noche me emborracho,Azucena Maizani,"Enrique Delfino, Manuel Parada",1928,04,14,tango
7261,Esta noche me emborracho,Mario Bustos,Florindo Sassone,,,,tango
7262,Esta noche me emborracho,Mario Bustos,Florindo Sassone,1966,03,10,tango
7263,Esta noche me emborracho,Charlo,Francisco Canaro,1928,04,04,tango
7264,Esta noche me emborracho,Alberto Arenas,Francisco Canaro,1953,03,20,tango
7265,Esta noche me emborracho,Carlos Gardel,"Guillermo Barbieri, José Ricardo",,,,tango
7266,Esta noche me emborracho,Carlos Gardel,"Guillermo Barbieri, José Ricardo",1928,07,06,tango
7267,Esta noche me emborracho,Carlos Dante,Juan D'Arienzo,,,,tango
7268,Esta noche me emborracho,Alberto Echagüe,Juan D'Arienzo,,,,tango
7270,Esta noche me emborracho,Alberto Echagüe,Juan D'Arienzo,1946,12,06,tango
7271,Esta noche me emborracho,Alberto Echagüe,Juan D'Arienzo,1954,11,10,tango
7272,Esta noche me emborracho,Juan Raggi,Bachicha,,,,tango
7273,Esta noche me emborracho,Juan Raggi,Bachicha,,,,tango
7274,Esta noche me emborracho,Miguel Montero,Carlos Demaria,1951,11,19,tango
7275,Esta noche me emborracho,Carlos Viván,Juan Félix Maglio,1928,04,16,tango
7277,Esta noche me emborracho,Ernesto Famá,Osvaldo Fresedo,1928,05,03,tango
7278,Esta noche me emborracho,Abel Córdoba,Osvaldo Pugliese,1990,09,12,tango
7279,Esta noche me emborracho,Alberto Castillo,Ricardo Tanturi,1942,08,14,tango
7280,Esta noche me emborracho,Carlos Saavedra,Rodolfo Biagi,1946,12,30,tango
7281,Esta noche me emborracho,Edmundo Rivero,Victor Buchino,,,,tango
7282,Esta noche me emborracho,Lita Morales,Vieri Fidanzini,1955,10,28,tango
7283,Esta noche me emborracho,-unspecified male-,Los Solistas de D'Arienzo,,,,tango
7284,Esta noche me emborracho,Alberto Vila,-unspecified guitars-,,,,tango
7285,Esta noche me emborracho,Charlo,-unspecified guitars-,1940,03,27,tango
7286,Esta noche me emborracho,Hugo del Carril,-unspecified guitars-,,,,tango
7287,Esta noche me emborracho,Hugo del Carril,-unspecified guitars-,,,,tango
7288,Esta noche me emborracho,Ignacio Corsini,-unspecified guitars-,,,,tango
7289,Esta noche me emborracho,Sofia Bozán,,,,,tango
7290,Esta noche me quedo a tu lado,Charlo,Francisco Canaro,1931,10,14,vals
7291,Esta soledad,Ángel Vargas,Luis Stazo,1958,09,04,tango
7292,Esta sonando un tango,Julio Rodolfo,Fulvio Salamanca,,,,tango
7293,Esta vida es puro grupo,Carlos Gardel,"Guillermo Barbieri, José María Aguilar",1929,10,11,tango
7294,Esta vida es puro grupo,Alberto Echagüe,Juan D'Arienzo,1956,09,20,tango
7295,Esta vuelta pago yo,Carlos Dante,Alfredo De Angelis,1947,10,21,tango
7296,Estaba bien seguro,Alfredo Belusi,José Basso,,,,tango
7297,Estaba escrito,Carlos Viván,Juan Félix Maglio,,,,tango
7298,Estambul,Mercedes Simone,,,,,?
7299,Estampa,Victoria Díaz,Hugo Díaz,,,,guarania
7300,Estampa de macarena,Carlos A. Varela,Roberto Firpo,1934,12,11,paso doble
7301,Estampa de matón,Carlos Valdéz,Domingo Federico,1951,04,10,tango
7302,Estampa de varón,Alberto Echagüe,Juan D'Arienzo,1938,08,05,milonga
7303,Estampa del 800,Alberto Castillo,Ángel F. Condercuri,1953,03,05,candombe
7304,Estampa del 800,Carlos Roldán,Francisco Canaro,1944,07,19,candombe
7305,Estampa del 900,Romeo Gavioli,Romeo Gavioli,,,,candombe
7306,Estampa del ochocientos,Alberto Castillo,Ángel F. Condercuri,1953,03,05,candombe
7307,Estampa federal,Alberto Podestá,Carlos Di Sarli,1942,12,21,vals
7308,Estampa gaucha,Roberto Maida,Francisco Canaro,1936,09,01,pericón y firmeza
7309,Estampa rea,Azucena Maizani,,1927,12,07,tango
7310,Estampa rea,Alberto Castillo,Ángel F. Condercuri,1956,07,26,tango
7311,Estampa rea,Azucena Maizani,"Enrique Delfino, Manuel Parada",1927,12,07,tango
7312,Estampa rea,Mercedes Simone,-unspecified guitars-,1927,12,15,tango
7313,Estampa serrana,"Agustín Magaldi, Pedro Noda",,,,,fado
7314,Estampa tanguera,Roberto Chanel,Roberto Chanel,1955,04,25,tango
7315,Estampa tanguera,Edmundo Rivero,-unspecified guitars-,,,,tango
7316,Estampa tanguera,Héctor Mauré,-unspecified guitars-,,,,tango
7317,Estampas de antaño,Armando Laborde,Juan D'Arienzo,1964,09,25,tango
7318,Estampas de barrio pasión,-unspecified male-,,,,,tango
7319,Estampilla,Azucena Maizani,"Enrique Delfino, Manuel Parada",,,,tango
7320,Estampilla,Charlo,Francisco Canaro,1928,12,12,tango
7321,Estampilla,Charlo,Francisco Lomuto,1928,12,29,tango
7322,Estampilla,Carlos Gardel,"Guillermo Barbieri, José Ricardo, José María Aguilar",1929,06,20,tango
7323,Estampilla,Carlos Viván,Juan Félix Maglio,1928,12,14,tango
7324,Estampilla,Carlos Dante,Rafael Canaro,,,,tango
7325,Estampilla,Carlos Dante,Rafael Canaro,,,,tango
7326,Están de fiesta en la estancia,Ernesto Famá,Francisco Canaro,1934,05,29,ranchera
7327,Están sonando las ocho,Horacio Quintana,Lucio Demare,1944,07,24,tango
7328,Estás aquí,Héctor Pacheco,Osvaldo Fresedo,1956,05,16,tango
7329,Estás aquí,Carlos Barrios,Osvaldo Fresedo,1956,05,16,tango
7330,Estas chicas se quieren casar,Alberto Castillo,Eduardo Rovira,1949,04,28,vals
7331,Estás conmigo,Armando Laborde,Juan D'Arienzo,1952,08,13,tango
7332,Estas cosas de la vida,Julio Sosa,Armando Pontier,1957,06,25,tango
7333,Estas cosas de la vida,Mario Bustos,Juan D'Arienzo,1957,08,29,tango
7334,Estás en Buenos Aires,Enrique Campos,,,,,tango
7335,Estás en mi ciudad,Patricia Lasala,Osvaldo Pugliese,1982,09,03,tango
7336,Estás en mi corazón,Jorge Vidal,,,,,tango
7337,Estás en mi corazón,Jorge Maciel,Alfredo J. Gobbi,1950,04,18,tango
7338,Estás llorando,Luis Mendoza,Juan Sánchez Gorio,,,,tango
7339,Estás llorando,Hugo Duval,Rodolfo Biagi,1953,12,12,tango
7340,Este amor,Agustín Irusta,,,,,vals
7341,Este amor desesperado,Carlos Paiva,-unspecified orchestra-,,,,tango
7342,Este carnaval,Armando Laborde,Juan D'Arienzo,1951,09,14,tango
7343,Este carnaval,Alberto Echagüe,Juan D'Arienzo,1951,09,14,tango
7344,Este cuore,Daniel Melingo,Daniel Melingo,,,,tango
7345,Este es tu tango,Armando Moreno,Enrique Rodríguez,1945,11,29,tango
7346,Este es tu tango,Roberto Videla,Ricardo Tanturi,1945,12,05,tango
7347,Este fiel corazón,Alberto Marino,Osvaldo Tarantino,1956,08,14,tango
7348,Este viejo corazón,Oscar Serpa,Osvaldo Fresedo,1943,04,09,tango
7349,Esther,Jorge Omar,Francisco Lomuto,1935,08,27,vals
7350,Estirpe brava,Alberto Castillo,Enrique Alessio,1945,11,20,tango
7351,Esto es así,Jaime Moreno,Adolfo Carabelli,1930,04,03,schottische
7352,Esto es el colmo,Antonio Maida,Edgardo Donato,1934,01,09,tango
7353,Esto es puro compás,Armando Moreno,Enrique Rodríguez,1941,05,12,tango
7354,Estos locos diás de verano,Ernesto Falcón,Enrique Rodríguez,1963,12,30,fox trot
7355,Estoy bien de bien,Juan Carlos Cáceres,Juan Carlos Cáceres,,,,?
7356,Estoy borracha,Rosita Quiroga,Vicente Spina,1926,11,25,tango
7357,Estoy contando los días,Julian Rosales,Alfredo De Angelis,1972,05,23,tango
7358,Estoy loca por las bocinas de los automóviles,Libertad Lamarque,,,,,
7359,Estoy pagando la culpa,Osvaldo Ramos,Juan D'Arienzo,1971,09,16,tango
7360,Estoy penando,Carlos A. Varela,Roberto Firpo,1930,09,25,tango
7361,Estoy que me muero,Charlo,Francisco Canaro,1929,11,18,fox trot
7362,Estoy Que Me Muero,,,,,,
7363,Estoy que me muero,Agustín Magaldi,-unspecified guitars-,1928,01,31,fox trot
7364,Estoy varao,,,,,,ranchera
7365,Estrella,Agustín Irusta,,,,,tango
7366,Estrella,Jorge Valdez,,,,,tango
7367,Estrella,Oscar Macri,Florindo Sassone,,,,tango
7368,Estrella,Jorge Valdez,Juan D'Arienzo,1961,06,29,tango
7369,Estrella,Hugo Duval,Rodolfo Biagi,,,,tango
7370,Estrella,Rodolfo Lesica,Héctor Varela,,,,tango
7371,Estrella,Roberto Goyeneche,,1983,12,07,tango
7372,Estrella,Jorge Valdez,-unspecified orchestra-,,,,tango
7373,Estrellita del sur,"Jorge Maciel, Héctor Coral",Alfredo J. Gobbi,1951,04,26,vals
7374,Estrellita del sur,"Jorge Maciel, Héctor Coral",Alfredo J. Gobbi,1951,06,26,vals
7375,Estrellita del sur,Alberto Castillo,Ángel F. Condercuri,1951,05,11,vals
7376,Estrellita mía,Amanda Ledesma,,,,,vals
7377,Estrellita mía,"Horacio Lagos, Lita Morales, Romeo Gavioli",Edgardo Donato,1940,09,30,vals
7378,Estrellita mía,Ernesto Famá,Francisco Canaro,1940,05,09,vals
7379,Estrellita milagrosa,Alberto Gómez,Orquesta Típica Porteña,1931,04,07,tango
7380,Estrellita milagrosa,Alberto Gómez,Orquesta Típica Porteña,1931,04,07,tango
7381,Estro,Rosita Quiroga,-unspecified guitars-,1925,04,13,canción
7382,Estudiante,Alberto Marino,Emilio Balcarce,1947,05,23,tango
7383,Estudiante,Carlos Gardel,Alberto Castellano,1933,03,17,tango
7384,Estudiante,Alberto Marino,-unspecified orchestra-,,,,tango
7385,Estudiantina,Roberto Maida,Francisco Canaro,1937,06,20,vals
7386,Estudiantina,Roberto Ray,Osvaldo Fresedo,1937,08,02,vals
7387,Estuve enamorada,Mercedes Serrano,Juan Sánchez Gorio,,,,tango
7388,"Estuviste bien, Pirulo",Azucena Maizani,,,,,tango
7389,"Estuviste bien, Pirulo",Azucena Maizani,,,,,tango
7390,"Estuviste bien, Pirulo",Roberto Maida,Pedro Maffia,,,,tango
7391,"Estuviste bien, Pirulo",,Pedro Maffia,,,,tango
7392,"Estuviste bien, Pirulo",Roberto Maida,-unspecified orchestra-,,,,tango
7393,Eterna,Alberto Echagüe,Juan D'Arienzo,1948,09,23,vals
7394,Eternamente,"Agustín Magaldi, Pedro Noda",-unspecified guitars-,,,,zamba
7395,Eterno amor,Antonio Buglione,Minotti Di Cicco,,,,tango
7396,Eu brinco,Osvaldo Novarro,,,,,marcha
7397,Eufemio Pizarro,Susana Rinaldi,,,,,tango canción
7398,Eufemio Pizarro,Alberto Arenas,Francisco Canaro,1947,04,21,tango
7399,Evocación,Charlo,,,,,vals
7400,Evocación,Charlo,-unspecified guitars-,1935,08,15,vals
7401,Evocación callejera,Jorge Vidal,,,,,milonga
7402,Evocación de París,Ángel Vargas,Armando Lacava,1954,09,07,tango
7403,Evocando a Gardel,Roberto Arrieta,Juan Canaro,,,,canción
7404,Existir,Gustavo Nocetti,,,,,tango
7405,Existir,José Ángel Trelles,Gustavo Fedel,,,,tango
7406,Exodo,Daniel Melingo,Daniel Melingo,,,,tango
7407,Extasis,,Astor Piazzolla,,,,?
7408,Extraña,Raúl Iriarte,Miguel Caló,1947,01,21,tango
7409,Extraño a mi amiga,,Osvaldo Fresedo,,,,fox trot
7410,Fabriquera,Daniel Melingo,Daniel Melingo,,,,tango
7411,"Fabriquera, fabriquera",Azucena Maizani,Francisco Canaro,,,,tango
7412,Facundo,Libertad Lamarque,,,,,afro-cubano
7413,Fado fadiño,,Adolfo Carabelli,1930,06,11,fado
7414,Fairly Right,,,,,,electro
7415,Falsa ilusión,Ernesto Famá,Francisco Canaro,1941,01,09,tango
7416,Falsa moneda,Armando Moreno,Enrique Rodríguez,1940,08,20,paso doble
7417,Falsas promesas,Carlos Gardel,"Ángel Domingo Riverol, Domingo Julio Vivas, Guillermo Barbieri",1931,10,27,tango
7418,Falsedad,Roberto Maida,Francisco Canaro,1936,10,25,tango
7419,Falsedad,Alberto Tagle,Rafael Canaro,,,,tango
7420,Falsedad,Alberto Tagle,Rafael Canaro,,,,tango
7421,Falsedad,Alberto Tagle,Rafael Canaro,,,,tango
7422,Falsia,Edmundo Rivero,,,,,tango
7423,Falso,Osvaldo Ramos,Juan D'Arienzo,1969,10,20,tango
7424,Falso abismo,-unspecified male-,,,,,tango
7425,Falta envido,Rosita Quiroga,-unspecified guitars-,1930,04,03,tango
7426,Fandango,,,,,,tango
7427,Fanfán,Héctor Mauré,,,,,tango
7428,Fanfán,Héctor Mauré,,,,,tango
7429,Fangal,Rubén Juárez,,,,,
7430,Fangal,Edmundo Rivero,,,,,tango
7431,Fangal,Mario Bustos,,,,,tango
7433,Fangal de dolor,Héctor Millán,Juan D'Arienzo,1962,11,26,tango
7434,Fangio,Alberto Castillo,Eduardo Rovira,1949,07,14,tango
7435,Fantasma,Raúl Iriarte,Miguel Caló,1944,10,24,tango
7436,Fantasma,Oscar Serpa,Osvaldo Fresedo,1944,12,28,tango
7437,Fantasma,Alberto Diale,Roberto Firpo,1939,12,28,tango
7438,Fantasma,Azucena Maizani,Orquesta Típica Coca-Cola,,,,tango
7439,Fantoches,Carlos A. Varela,Roberto Firpo,1935,07,24,tango
7440,Farabute,Juan Carlos Godoy,,,,,tango
7441,Farabute,Carlos Gardel,"Guillermo Barbieri, José Ricardo, José María Aguilar",1928,12,22,canción
7442,Farabute,Alberto Echagüe,Juan D'Arienzo,1949,07,26,tango
7443,Farabute,Teófilo Ibáñez,Roberto Firpo,1928,05,28,tango
7444,Farandulera,,,,,,
7445,Farandulera,-unspecified female-,,,,,?
7446,Farol,Miguel Montero,,,,,tango
7447,Farol,Roberto Goyeneche,,,,,tango
7448,Farol,Francisco Fiorentino,Aníbal Troilo,1943,09,30,tango
7449,Farol,-unspecified male-,,,,,tango
7450,Farol,Alfredo Belusi,José Basso,,,,tango
7451,Farol,Roberto Chanel,Osvaldo Pugliese,1943,07,15,tango
7452,Farol,Roberto Goyeneche,Raúl Miguel Garello,,,,tango
7453,Farol,Roberto Goyeneche,Orquesta Típica Porteña,,,,tango
7454,Farol de los gauchos,"Agustín Magaldi, Pedro Noda",,,,,zamba
7455,Farol de los gauchos,Nelly Omar,,,,,zamba
7456,Farol de los gauchos,Nelly Omar,"-unspecified guitars-, Roberto Grela",1953,01,23,zamba
7458,Farolas de cielo,Carlos Dante,Alfredo De Angelis,1956,08,08,tango
7459,Farolero,Ernesto Famá,Francisco Canaro,1934,03,27,tango
7460,Farolero,Luis Díaz,Orquesta Típica Victor,1934,05,09,tango
7461,Farolito,Francisco Amor,Francisco Canaro,1938,11,29,vals
7462,Farolito de arrabal,Teófilo Ibáñez,Roberto Firpo,1928,04,18,tango
7463,Farolito de mi barrio,Rosita Quiroga,-unspecified guitars-,1927,06,04,tango
7464,Farolito de papel,,,,,,tango
7465,Farolito de papel,Alberto Marino,,,,,tango
7466,Farolito de papel,Carlos Gardel,"Ángel Domingo Riverol, Guillermo Barbieri, José María Aguilar",1930,10,16,tango
7467,Farolito de papel,Alberto Marino,Aníbal Troilo,1943,06,02,tango
7468,Farolito de papel,Alfredo Rojas,José García,1944,01,17,tango
7469,Farolito de papel,Alberto Marino,Victor Hugo Baralis,1951,07,27,tango
7470,Farolito viejo,Edmundo Rivero,,,,,tango
7471,Farolito viejo,Julio Sosa,Francisco Rotundo,1954,11,16,tango
7472,Farolito viejo,Carlos Gardel,"Guillermo Barbieri, José Ricardo",1927,08,20,tango
7473,Farolito viejo,,Héctor Varela,1950,12,15,tango
7474,Farolito viejo,Armando Laborde,Héctor Varela,1950,12,15,tango
7475,Farolito viejo,,,,,,tango
7476,Fatal y tanguera,Alberto Gómez,,,,,tango
7477,Fatal y tanguera,Roberto Chanel,,,,,tango
7478,Fatal y tanguera,Roberto Chanel,Roberto Chanel,1954,06,21,tango
7479,Fatal y tanguera,Alberto Gómez,José Canet,,,,tango
7481,Fatal y tanguera,Armando Laborde,Juan D'Arienzo,1954,11,02,tango
7482,Fatal y tanguera,Osvaldo Bazán,Juan Sánchez Gorio,1954,08,08,tango
7483,Fatal y tanguera,Alberto Marino,Osvaldo Manzi,1954,04,29,tango
7484,Fatal y tanguera,Alberto Gómez,-unspecified guitars-,,,,tango
7485,Fatal y tanguera,Jorge Vidal,-unspecified guitars-,,,,tango
