,Title,Orchestra,Singer,Record Date,Genre,Duration,Label,Disc type,Disc No.
270,Ay Aurora,Juan D'Arienzo y su Orquesta Típica,Alberto Echagüe,1939-11-14,Vals,02:14,RCA Victor,Shellac,38887
271,Por qué razón,Juan D'Arienzo y su Orquesta Típica,Instrumental,1939-12-22,Tango,03:07,RCA Victor,Shellac,38909
272,Corazón... no le hagas caso,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1943-03-11,Tango,02:46,RCA Victor,Shellac,60-0017
273,Tango y copas,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-04-05,Tango,02:25,RCA Victor,Shellac,60-0035
274,Percal,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1943-03-25,Tango,03:15,RCA Victor,Shellac,60-0040
275,Cuando tallan los recuerdos,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-04-27,Tango,02:57,RCA Victor,Shellac,60-0064
276,Inspiración,Aníbal Troilo y su Orquesta Típica,Instrumental,1943-05-03,Tango,03:11,RCA Victor,Shellac,60-0067
277,Tal vez será su voz...!,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-08-04,Tango,03:01,RCA Victor,Shellac,60-0189
278,Cantando se van las penas,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-09-30,Tango,02:54,RCA Victor,Shellac,60-0226
279,Uruguaya,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino y Alberto Marino,1943-10-20,Vals,02:24,RCA Victor,Shellac,60-0246
280,Soy un porteño,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1943-06-02,Milonga,03:22,RCA Victor,Shellac,60-0104
281,Farolito de papel,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-06-02,Tango,03:18,RCA Victor,Shellac,60-0122
282,Pablo,Aníbal Troilo y su Orquesta Típica,Instrumental,1943-10-20,Tango Milonga,02:32,RCA Victor,Shellac,60-0325
283,Soñar y nada más,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino y Alberto Marino,1943-08-04,Vals,03:18,RCA Victor,Shellac,60-0149
284,El barrio del tambor,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1943-11-05,Milonga,02:37,RCA Victor,Shellac,60-0251
285,A bailar,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1943-11-05,Tango,02:46,RCA Victor,Shellac,60-0271
286,Cada día te extraño más,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1943-12-17,Tango,02:31,RCA Victor,Shellac,60-0317
288,Temblando,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1944-03-30,Vals,03:07,RCA Victor,Shellac,60-0416
289,Siga el corso,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-06-07,Tango,03:30,RCA Victor,Shellac,60-0462
290,Después,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-03-03,Tango,03:25,RCA Victor,Shellac,60-0371
291,El desafío,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino y Alberto Marino,1944-03-30,Milonga,02:40,RCA Victor,Shellac,60-0406
292,Sombras... nada más,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-03-30,Tango,02:58,RCA Victor,Shellac,60-0400
293,Alhucema,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-08-31,Tango,02:56,RCA Victor,Shellac,60-0542
294,Rosa de tango,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-08-01,Tango,02:14,RCA Victor,Shellac,60-0519
295,Naipe,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-06-27,Tango,02:57,RCA Victor,Shellac,60-0494
296,La vi llegar,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-06-27,Tango,03:26,RCA Victor,Shellac,60-0479
297,Marioneta,Aníbal Troilo y su Orquesta Típica,Floreal Ruiz,1944-10-06,Tango,03:21,RCA Victor,Shellac,60-0554
298,Con permiso!,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1944-09-27,Milonga,02:30,RCA Victor,Shellac,60-0560
299,Luna llena,Aníbal Troilo y su Orquesta Típica,Floreal Ruiz,1944-12-19,Tango,03:17,RCA Victor,Shellac,60-0633
300,Naranjo en flor,Aníbal Troilo y su Orquesta Típica,Floreal Ruiz,1944-11-23,Tango,02:54,RCA Victor,Shellac,60-0588
301,Quejas de bandoneón,Aníbal Troilo y su Orquesta Típica,Instrumental,1944-09-27,Tango,02:39,RCA Victor,Shellac,60-0560
302,La pequeña Shirley,Miguel Caló y su Orquesta Típica,Alberto Morel,1936-10-23,Vals,02:19,Odeon,Shellac,8360
303,Canción desesperada,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-10-09,Tango,03:22,RCA Victor,Shellac,68-2008
304,"Adiós, pampa mía!",Aníbal Troilo y su Orquesta Típica,Alberto Marino y Floreal Ruiz,1945-11-15,Tango campero,03:30,RCA Victor,Shellac,60-0825
305,Ya estamos iguales,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-03-27,Tango,03:32,RCA Victor,Shellac,60-0674
306,Fuegos artificiales,Aníbal Troilo y su Orquesta Típica,Instrumental,1945-05-29,Tango,02:34,RCA Victor,Shellac,60-0695
307,Cimarrón de ausencia,Aníbal Troilo y su Orquesta Típica,Alberto Marino y Floreal Ruiz,1945-06-05,Milonga,03:02,RCA Victor,Shellac,60-0717
308,Equipaje,Aníbal Troilo y su Orquesta Típica,Floreal Ruiz,1945-03-27,Tango,02:40,RCA Victor,Shellac,60-0660
309,Garras,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-02-28,Tango,03:23,RCA Victor,Shellac,60-0648
310,La noche que te fuiste,Aníbal Troilo y su Orquesta Típica,Floreal Ruiz,1945-06-05,Tango,03:17,RCA Victor,Shellac,60-0717
311,Margo,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-12-18,Tango,03:21,RCA Victor,Shellac,60-0847
312,Me quedé mirándola,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-03-27,Tango,02.39,RCA Victor,Shellac,60-0660
313,Tedio,Aníbal Troilo y su Orquesta Típica,Alberto Marino,1945-12-18,Tango,02:51,RCA Victor,Shellac,60-0847
315,Te aconsejo que me olvides,Aníbal Troilo y su Orquesta Típica,Francisco Fiorentino,1941-04-16,Tango,03:03,RCA Victor,Shellac,39265
316,No aflojés,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1940-11-13,Tango,03:07,RCA Victor,Shellac,39136
317,Tres esquinas,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-07-24,Tango,03:09,RCA Victor,Shellac,39359
318,Compadreando,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-10-20,Milonga,02:35,RCA Victor,Shellac,39437
319,Adiós arrabal,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-09-09,Tango,03:10,RCA Victor,Shellac,39404
320,Una pena,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-05-11,Tango,02:59,RCA Victor,Shellac,39479
321,Traiga otra caña,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-12-11,Tango,02:34,RCA Victor,Shellac,39492
322,Qué me pasará,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1941-12-12,Vals,02:33,RCA Victor,Shellac,39521
323,Adiós para siempre,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-03-17,Tango,03:01,RCA Victor,Shellac,39552
324,Pobre gallo bataraz,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-04-07,Tango,02:34,RCA Victor,Shellac,39569
325,Esquinas porteñas,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-05-22,Vals,02:53,RCA Victor,Shellac,39624
326,Entre copa y copa,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-04-23,Milonga,02:32,RCA Victor,Shellac,39594
327,Trasnochando,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-06-15,Tango,03:06,RCA Victor,Shellac,39633
328,Un lamento,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-07-15,Tango,02:31,RCA Victor,Shellac,39657
329,Guitarra que llora,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-06-15,Tango,02:34,RCA Victor,Shellac,39688
330,Pero... yo sé,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-09-02,Tango,02:44,RCA Victor,Shellac,39694
331,Llora vida mía,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-11-17,Tango,02:36,RCA Victor,Shellac,39785
332,Ninguna,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1942-12-30,Tango,02:59,RCA Victor,Shellac,39817
333,Tomo y obligo,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-06-10,Tango,02:57,RCA Victor,Shellac,60-0102
334,El porteñito,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-03-23,,02:29,RCA Victor,Shellac,60-0037
335,Madre hay una sola,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-04-30,Tango,03:11,RCA Victor,Shellac,60-0066
336,Cardo azul,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-09-03,Tango,02:55,RCA Victor,Shellac,60-0193
337,Qué lento corre el tren,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-09-03,Tango,02:57,RCA Victor,Shellac,60-0204
339,Palais de glace / Palé de glas,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-09-13,Tango,02:50,RCA Victor,Shellac,60-0538
340,La carreta,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1943-11-15,Tango,03:09,RCA Victor,Shellac,60-0265
341,Cuando se ha querido mucho,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-03-20,Tango,02:36,RCA Victor,Shellac,60-0654
342,Muñequita,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-07-19,Tango,02:53,RCA Victor,Shellac,60-0493
343,La nueva vecina,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-09-13,Tango,02:44,RCA Victor,Shellac,60-0538
344,Madreselva,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-12-05,Tango,02:56,RCA Victor,Shellac,60-0590
345,El cocherito,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-11-02,Tango,03:23,RCA Victor,Shellac,60-0569
346,Mano blanca,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-03-09,Tango,02:45,RCA Victor,Shellac,60-0376
347,Como el hornero,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-04-05,Tango,02:42,RCA Victor,Shellac,60-0404
348,El espejo de tus ojos,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-03-09,Vals,02:53,RCA Victor,Shellac,60-0420
349,El poncho del olvido,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1944-05-26,Tango,02:44,RCA Victor,Shellac,60-0447
350,Bailarín de contraseña,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-08-27,Tango,03:04,RCA Victor,Shellac,60-0768
351,Porque me siento feliz,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-07-17,Milonga,02:36,RCA Victor,Shellac,60-0733
352,Serpentinas de esperanza,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1946-02-08,Tango,02:59,RCA Victor,Shellac,60-0883
353,No vendrás,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-11-02,Tango,02:35,RCA Victor,Shellac,60-0821
354,Destellos,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1946-03-29,Tango,02:39,RCA Victor,Shellac,60-0911
355,Demasiado tarde,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1946-09-10,Tango,02:39,RCA Victor,Shellac,60-1044
356,Pinta blanca,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-08-27,Tango,03:03,RCA Victor,Shellac,60-0768
357,De igual a igual,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-11-02,Tango,02:41,RCA Victor,Shellac,60-0809
358,El aristócrata / El Shusheta,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-04-05,Tango,02:50,RCA Victor,Shellac,60-0664
359,Hotel Victoria,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-05-21,Tango,02:41,RCA Victor,Shellac,60-0692
360,Caricias,Ángel D'Agostino y su Orquesta Típica,Ángel Vargas,1945-08-07,Tango,02:48,RCA Victor,Shellac,60-0749
361,Retintín,Juan D'Arienzo y su Orquesta Típica,Instrumental,1936-01-31,Tango,02:30,RCA Victor,Shellac,37883
362,Hotel Victoria,Juan D'Arienzo y su Orquesta Típica,Instrumental,1935-07-02,Tango,02:38,RCA Victor,Shellac,37785
363,Irene,Juan D'Arienzo y su Orquesta Típica,Walter Cabral,1936-06-09,Vals,02:29,RCA Victor,Shellac,37937
364,"No llores, madre",Juan D'Arienzo y su Orquesta Típica,Instrumental,1936-07-03,Vals,02:18,RCA Victor,Shellac,37955
365,Amor y celo,Juan D'Arienzo y su Orquesta Típica,Instrumental,1936-09-03,Vals,02:20,RCA Victor,Shellac,37991
