,Title,Orchestra,Singer,Record Date,Genre,Duration,Label,Disc type,Disc No.
427,Barajando recuerdos,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1943-05-07,Tango,03:09,RCA Victor,Shellac,60-0077
428,Cómo se pianta la vida,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-09-15,Tango,02:58,RCA Victor,Shellac,39730
429,Cuatro compases,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-11-04,Tango,02:30,RCA Victor,Shellac,39776
430,El moro,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1941-11-27,Tango,03:02,RCA Victor,Shellac,39476
431,Ese sos vos,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1941-12-23,Tango,02:35,RCA Victor,Shellac,68-0527
432,La copa del olvido,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-07-20,Tango,02:38,RCA Victor,Shellac,39662
433,La última copa,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1943-04-29,Tango,02:39,RCA Victor,Shellac,60-0065
434,Madame Ivonne,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-03-18,Tango,02:19,RCA Victor,Shellac,39553
435,"Me llaman ""El zorro""",Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-12-04,Tango,02:35,RCA Victor,Shellac,39813
436,Mi piba,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1943-03-16,Tango,02:23,RCA Victor,Shellac,60-0019
437,Moneda de cobre,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-12-04,Tango,02:50,RCA Victor,Shellac,39807
438,Muñeca brava,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-09-22,Tango,02:37,RCA Victor,Shellac,39711
439,Pocas palabras,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1941-06-16,Tango,02:29,RCA Victor,Shellac,39316
440,Qué podrán decir,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1943-03-02,Tango,02:38,RCA Victor,Shellac,60-0014
441,Recuerdo malevo,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1941-12-23,Tango,02:36,RCA Victor,Shellac,39494
442,Un crimen,Ricardo Tanturi y su Orquesta Típica,Alberto Castillo,1942-09-22,Tango,02:53,RCA Victor,Shellac,39711
444,Tierrita,Ricardo Tanturi y su Orquesta Típica,Instrumental,1937-06-23,Tango,02:42,Odeon,Shellac,7130
445,Argañaraz,Ricardo Tanturi y su Orquesta Típica,Instrumental,1940-11-18,Tango,02:21,RCA Victor,Shellac,39610
446,El buey solo,Ricardo Tanturi y su Orquesta Típica,Instrumental,1941-01-08,Tango,03:09,RCA Victor,Shellac,39204
447,Comparsa criolla,"Ricardo Tanturi y su Orquesta Típica ""Los Indios""",Instrumental,1941-06-16,Tango,02:52,RCA Victor,Shellac,39316
448,Adiós pueblo,"Ricardo Tanturi y su Orquesta Típica ""Los Indios""",Instrumental,1941-08-14,Tango,02:57,RCA Victor,Shellac,39377
449,La huella,"Ricardo Tanturi y su Orquesta Típica ""Los Indios""",Instrumental,1941-11-27,Tango,02:32,RCA Victor,Shellac,39476
450,Entre sueños,"Ricardo Tanturi y su Orquesta Típica ""Los Indios""",Instrumental,1943-03-02,Tango,02:59,RCA Victor,Shellac,60-0025
451,Raza criolla / El taita,"Ricardo Tanturi y su Orquesta Típica ""Los Indios""",Instrumental,1944-12-13,Tango,02:50,RCA Victor,Shellac,60-0595
453,Tu llamado,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1945-11-09,Tango,02.46,RCA Victor,Shellac,60-0813
454,Este es tu tango,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1945-12-05,Tango,02:33,RCA Victor,Shellac,60-0836
455,"Así era ella, muchachos",Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-03-13,Tango,02:42,RCA Victor,Shellac,60-0901
456,"Tiene razón, amigazo",Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-04-23,Tango,02:42,RCA Victor,Shellac,60-0921
457,Espera de esquina,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-05-16,Tango,02:40,RCA Victor,Shellac,60-0945
458,Viviane de París,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-07-05,Tango,02:38,RCA Victor,Shellac,60-0978
459,No me escribas,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-07-23,Tango,02:44,RCA Victor,Shellac,60-1001
460,Sombras,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1946-08-27,Tango,02:49,RCA Victor,Shellac,60-1530
461,En la copa de la vida,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1946-11-15,Tango,02:31,RCA Victor,Shellac,60-1123
462,Me da pena confesarlo,Ricardo Tanturi y su Orquesta Típica,Roberto Videla,1947-03-28,Tango,03:09,RCA Victor,Shellac,60-1261
463,Alma de bohemio,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1947-04-02,Tango,02:47,RCA Victor,Shellac,60-1266
464,Vagabundo,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1947-05-09,Tango,02:45,RCA Victor,Shellac,60-1320
465,Remembranza,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1947-05-09,Tango,02:41,RCA Victor,Shellac,60-1319
466,Quejas del alma,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1947-10-31,Vals,02:59,RCA Victor,Shellac,60-1483
467,Papel picado,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1948-01-26,Tango,02:45,RCA Victor,Shellac,60-1524
468,Cuando llora la milonga,Ricardo Tanturi y su Orquesta Típica,Osvaldo Ribó,1950-08-16,Tango,03:06,RCA Victor,Shellac,60-2014
470,El rodeo,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1943-07-15,Tango,02:25,Odeon,Shellac,7660
471,Muchachos comienza la ronda,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1943-08-27,Tango,02:45,Odeon,Shellac,7661
472,Qué bien te queda (Cómo has cambiado),Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1943-10-21,Tango,03:23,Odeon,Shellac,7662
473,Silbar De Boyero,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-03-31,Tango,03:18,Odeon,Shellac,7663
474,Tortazos,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-06-01,Milonga,02:29,Odeon,Shellac,7664
475,El día de tu ausencia,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-07-06,Tango,02:54,Odeon,Shellac,7665
476,La abandoné y no sabía,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-07-20,Tango,03:11,Odeon,Shellac,7666
477,El tango es una historia,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-08-22,Tango,03:14,Odeon,Shellac,7667
478,Adiós Bardi,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1944-10-17,Tango,02:46,Odeon,Shellac,7668
479,Amurado,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1944-11-24,Tango,02:43,Odeon,Shellac,7669
480,Puentecito de mi río,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1944-12-21,Vals,02:49,Odeon,Shellac,7670
481,Yuyo verde,Osvaldo Pugliese y su Orquesta Típica,Alberto Morán,1945-01-25,Tango,02:45,Odeon,Shellac,7671
482,El paladín,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1945-03-20,Tango,02:47,Odeon,Shellac,7672
483,Maleza,Osvaldo Pugliese y su Orquesta Típica,Alberto Morán,1945-05-28,Tango,02:55,Odeon,Shellac,7673
484,Pelele,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1945-06-12,Tango,02:27,Odeon,Shellac,7674
485,Rondando tu esquina,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1945-07-18,Tango,02:47,Odeon,Shellac,7675
486,Flor de tango,Osvaldo Pugliese y su Orquesta Típica,Instrumental,1945-08-28,Tango,02:29,Odeon,Shellac,7676
487,Mentira,Osvaldo Pugliese y su Orquesta Típica,Alberto Morán,1945-09-24,Tango,02:48,Odeon,Shellac,7677
488,Galleguita,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1945-11-06,Tango,02:44,Odeon,Shellac,7678
489,Dandy,Osvaldo Pugliese y su Orquesta Típica,Roberto Chanel,1945-12-03,Tango,02:47,Odeon,Shellac,7679
490,Hoy al recordarla,Osvaldo Pugliese y su Orquesta Típica,Alberto Morán,1945-12-18,Tango,03:17,RCA Victor,Shellac,7680
492,Amores de estudiante,Francisco Canaro y su Orquesta Típica,Carlos Galán,1934-09-10,Vals,03:51,Odeon,Shellac,4912
493,De puerta en puerta,Francisco Canaro y su Orquesta Típica,Carlos Galán,1934-09-10,Tango,02:46,Odeon,Shellac,4912
494,Mi Buenos Aires querido,Francisco Canaro y su Orquesta Típica,Carlos Galán,1934-09-19,Tango,03:20,Odeon,Shellac,4909
495,Ronda del querer,Francisco Canaro y su Orquesta Típica,Carlos Galán,1934-09-21,Vals,03:04,Odeon,Shellac,4910
496,Tormento,Francisco Canaro y su Orquesta Típica,Carlos Galán,1934-11-21,Tango,02:32,Odeon,Shellac,4920
497,Y al final en el cafe,Andrés Falgás y su Orquesta Típica,Andrés Falgás,,Tango,02:54,RCA Victor,Shellac,90-0412
498,Adios Muchachos,Andrés Falgás y su Orquesta Típica,Andrés Falgás,,Tango,02:35,RCA Victor,Shellac,90-0425
500,Yo soy el tango,Miguel Caló y su Orquesta Típica,Alberto Podestá,1941-03-12,Tango,02:40,Odeon,Shellac,8362
501,Al compás del corazón,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-04-29,Tango,02:41,Odeon,Shellac,8364
502,Qué te importa que te llore,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-06-30,Tango,02:34,Odeon,Shellac,8365
503,Lejos de Buenos Aires,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-07-29,Tango,02:48,Odeon,Shellac,8366
504,Pedacito de cielo,Miguel Caló y su Orquesta Típica,Alberto Podestá,1942-09-02,Vals,02:19,Odeon,Shellac,8367
505,Margarita Gauthier,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-09-09,Tango,02:23,Odeon,Shellac,8370
506,Azabache,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-09-29,Candombe Milonga,02:58,Odeon,Shellac,8368
507,Jamás retornarás,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-10-09,Tango,02:26,Odeon,Shellac,8369
508,Cuatro compases,Miguel Caló y su Orquesta Típica,Raúl Berón,1942-12-01,Tango,02:38,Odeon,Shellac,8371
509,Barrio de tango,Miguel Caló y su Orquesta Típica,Jorge Ortiz,1943-01-19,Tango,03:07,Odeon,Shellac,8372
510,A las siete en el café,Miguel Caló y su Orquesta Típica,Jorge Ortiz,1943-01-20,Tango,02:59,Odeon,Shellac,8373
511,Percal,Miguel Caló y su Orquesta Típica,Alberto Podestá,1943-02-25,Tango,02:52,Odeon,Shellac,8374
512,Ya sale el tren,Miguel Caló y su Orquesta Típica,Jorge Ortiz,1943-02-25,Tango,03:14,Odeon,Shellac,8374
513,Si tú quisieras,Miguel Caló y su Orquesta Típica,Alberto Podestá,1943-03-18,Tango,02:36,Odeon,Shellac,8375
514,Es en vano llorar,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-05-17,Tango,02:32,Odeon,Shellac,8376
515,Mi cantar,Miguel Caló y su Orquesta Típica,Jorge Ortiz,1943-05-21,Tango,03:04,Odeon,Shellac,8377
516,Pobre negra,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-06-11,Milonga,03:03,Odeon,Shellac,8378
517,Otro tango,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-08-10,Tango,02:38,Odeon,Shellac,8379
518,Cada día te extraño más,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-09-16,Tango,02:31,Odeon,Shellac,8380
519,Luna de plata,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-10-19,Vals,02:33,Odeon,Shellac,8384
520,Gime el viento,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-11-29,Tango,02:29,Odeon,Shellac,8382
521,Marión,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1943-12-27,Tango,02:47,Odeon,Shellac,8383
522,Después,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-01-10,Tango,02:50,Odeon,Shellac,8384
523,Si yo pudiera comprender,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-01-28,Tango,02:47,Odeon,Shellac,8385
524,Nada,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-03-09,Tango,02:37,Odeon,Shellac,8386
525,La vi llegar,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-04-19,Tango,03:21,Odeon,Shellac,8387
526,Entre sueños,Miguel Caló y su Orquesta Típica,Raúl Berón,1944-05-08,Tango,02:38,Odeon,Shellac,8388
527,Mulata,Miguel Caló y su Orquesta Típica,Raúl Berón,1944-06-22,Milonga Candombe,02:55,Odeon,Shellac,8389
528,En tus ojos de cielo,Miguel Caló y su Orquesta Típica,Raúl Berón,1944-07-10,Tango,02:20,Odeon,Shellac,8390
529,Saludos,Miguel Caló y su Orquesta Típica,Instrumental,1944-08-23,Tango,02:23,Odeon,Shellac,8391
530,Mi tango es triste,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-08-28,Tango,02:24,Odeon,Shellac,8392
531,Fantasma,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-10-24,Tango,02:48,Odeon,Shellac,8393
532,Me duele el corazón,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1944-11-07,Vals,02:20,Odeon,Shellac,8394
533,Mi nataí,Miguel Caló y su Orquesta Típica,Luis Tolosa,1944-12-14,Tango,02:38,Odeon,Shellac,8395
534,Tierra querida,Miguel Caló y su Orquesta Típica,Instrumental,1945-01-19,Tango,02:05,Odeon,Shellac,8396
535,Lluvia de abril,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-02-20,Tango,02:37,Odeon,Shellac,8398
536,Garras,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-03-08,Tango,02:42,Odeon,Shellac,8399
537,Yo,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-04-20,Tango,02:35,Odeon,Shellac,8399
538,Sol,Miguel Caló y su Orquesta Típica,Luis Tolosa,1945-05-22,Tango,02:50,Odeon,Shellac,30001
539,Seis días,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-06-05,Tango,02:48,Odeon,Shellac,30002
540,Soledad la de barracas,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-07-05,Tango,02:42,Odeon,Shellac,30003
541,Quedó en venir a las 9,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1945-08-07,Tango,02:51,Odeon,Shellac,30004
542,Valsecito,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1945-09-14,Vals,02:29,Odeon,Shellac,30005
543,Cosas de tango,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-11-02,Tango,02:35,Odeon,Shellac,30006
544,El mismo dolor,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-12-19,Vals,02:36,Odeon,Shellac,30008
545,Una tarde cualquiera,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1945-11-15,Tango,03:00,Odeon,Shellac,30007
546,Pudo ser una vida,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-12-27,Tango,02:53,Odeon,Shellac,30010
547,Mañana no estarás,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1945-12-29,Tango,02:53,Odeon,Shellac,30009
548,Qué me van a hablar de amor,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1946-03-08,Tango,03:20,Odeon,Shellac,30012
549,Trapitos,Miguel Caló y su Orquesta Típica,Raúl Iriarte y Roberto Arrieta,1946-03-15,Milonga,02:30,Odeon,Shellac,30011
550,Qué cosas tiene la vida,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1946-04-04,Tango,02:50,Odeon,Shellac,30013
551,Inútil,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1946-12-03,Tango,03:03,Odeon,Shellac,30014
552,Tarde gris,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1946-12-12,Tango,02:57,Odeon,Shellac,30014
553,Extraña,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1947-01-21,Tango,02:30,Odeon,Shellac,30016
554,Cambalache,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1947-04-25,Tango,03:05,Odeon,Shellac,30017
555,El plebeyo,Miguel Caló y su Orquesta Típica,Raúl Iriarte,1947-05-09,Vals,02:54,Odeon,Shellac,30018
556,La negra quiere bailar,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1947-10-22,Milonga,02:09,Odeon,Shellac,30020
557,No te perdono más,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1948-04-27,Tango,02:25,Odeon,Shellac,30022
558,La guiñada,Miguel Caló y su Orquesta Típica,Instrumental,1948-06-09,Tango,02:41,Odeon,Shellac,30023
559,Echale sal,Miguel Caló y su Orquesta Típica,Instrumental,1948-08-09,Tango,02:46,Odeon,Shellac,30024
560,Corazón de papel,Miguel Caló y su Orquesta Típica,Roberto Arrieta,1948-09-23,Tango,02:40,Odeon,Shellac,30025
561,Tanto,Miguel Caló y su Orquesta Típica,Mario Cané,1948-12-15,Tango,03:07,Odeon,Shellac,30026
562,La casa vacía,Miguel Caló y su Orquesta Típica,Roberto Rufino,1949-07-20,Tango,02:56,Odeon,Shellac,30027
563,La guitarrita,Miguel Caló y su Orquesta Típica,Instrumental,1949-12-29,Tango,02:42,Odeon,Shellac,30028
564,Che bandoneón,Miguel Caló y su Orquesta Típica,Ricardo Blanco,1950-03-16,Tango,03:08,Odeon,Shellac,30029
565,Charamusca,Miguel Caló y su Orquesta Típica,Instrumental,1950-06-06,Tango,02:50,Odeon,Shellac,55119
566,El pillete,Miguel Caló y su Orquesta Típica,Instrumental,1950-09-08,Tango,02:45,Odeon,Shellac,55160
567,Disco rayado,Miguel Caló y su Orquesta Típica,Instrumental,1950-10-27,Tango,02:24,Odeon,Shellac,55172
569,La entrerriana,Alfredo Gobbi y su Orquesta Típica,Carlos Heredia y Hugo Soler,1947-05-16,Vals,02:43,RCA Victor,Shellac,60-1328
570,Jueves,Alfredo Gobbi y su Orquesta Típica,Instrumental,1947-07-30,Tango,02:42,RCA Victor,Shellac,60-1393
571,Barcarola triste,Alfredo Gobbi y su Orquesta Típica,Hugo Soler,1947-11-04,Tango,03:15,RCA Victor,Shellac,60-1485
572,Amémonos,Alfredo Gobbi y su Orquesta Típica,Carlos Heredia y Hugo Soler,1948-01-31,Vals,02:28,RCA Victor,Shellac,60-1527
573,Tierrita,Alfredo Gobbi y su Orquesta Típica,Héctor Maciel,1948-05-12,Tango,03:18,RCA Victor,Shellac,60-1594
574,Remembranza,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel,1948-09-08,Tango,03:59,RCA Victor,Shellac,60-1667
575,Puro apronte,Alfredo Gobbi y su Orquesta Típica,Instrumental,1949-01-31,Tango,02:37,RCA Victor,Shellac,60-1738
576,Orlando Goñi ,Alfredo Gobbi y su Orquesta Típica,Instrumental,1949-03-24,Tango,03:26,RCA Victor,Shellac,60-1769
577,Tu amargura,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel y Ángel Díaz,1949-07-25,Vals peruano,03:24,RCA Victor,Shellac,60-1819
578,Racing Club,Alfredo Gobbi y su Orquesta Típica,Instrumental,1949-10-13,Tango,02:43,RCA Victor,Shellac,60-1854
579,Sombras,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel,1949-12-21,Tango,03:04,RCA Victor,Shellac,60-1901
580,Mala entraña,Alfredo Gobbi y su Orquesta Típica,Héctor Coral,1950-03-27,Tango,02:18,RCA Victor,Shellac,60-1931
581,Pelele,Alfredo Gobbi y su Orquesta Típica,Instrumental,1950-04-18,Tango,02:36,RCA Victor,Shellac,60-1944
582,Salto mortal,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel,1950-10-31,Tango,03:43,RCA Victor,Shellac,60-2056
583,Traicionera,Alfredo Gobbi y su Orquesta Típica,Héctor Coral,1950-11-23,Tango,02:56,RCA Victor,Shellac,60-2066
584,Estrellita del sur,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel y Héctor Coral,1951-04-26,Vals peruano,02:50,RCA Victor,Shellac,63-0065
585,Que me quiten lo bailao!...,Alfredo Gobbi y su Orquesta Típica,Héctor Coral,1951-06-26,Tango,02:59,RCA Victor,Shellac,63-0111
586,El andariego,Alfredo Gobbi y su Orquesta Típica,Instrumental,1951-06-27,Tango,03:09,RCA Victor,Shellac,63-0112
587,Como las margaritas,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel y Héctor Coral,1952-04-03,Vals,03:16,RCA Victor,Shellac,68-0245
588,As de cartón,Alfredo Gobbi y su Orquesta Típica,Carlos Almada,1953-04-28,Tango,02:58,RCA Victor,Shellac,68-0649
589,Para qué vivir así,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel,1953-06-09,Tango,02:50,RCA Victor,Shellac,68-0740
590,Por eso canto así,Alfredo Gobbi y su Orquesta Típica,Carlos Almada,1953-10-27,Tango,03:17,RCA Victor,Shellac,68-1224
591,Un regalo de reyes,Alfredo Gobbi y su Orquesta Típica,Jorge Maciel,1954-08-26,Tango,02:58,RCA Victor,Shellac,68-1823
593,El incendio,Rodolfo Biagi y su Orquesta Típica,Instrumental,1938-08-15,Tango,02:40,Odeon,Shellac,5600
594,Viejo portón,Rodolfo Biagi y su Orquesta Típica,Teófilo Ibáñez,1938-10-17,Vals,02:25,Odeon,Shellac,5601
595,Loca de amor,Rodolfo Biagi y su Orquesta Típica,Teófilo Ibáñez,1938-11-15,Vals,02:12,Odeon,Shellac,5602
596,Lejos de ti,Rodolfo Biagi y su Orquesta Típica,Teófilo Ibáñez,1938-12-02,Vals,02:10,Odeon,Shellac,5603
597,Alma de bohemio,Rodolfo Biagi y su Orquesta Típica,Teófilo Ibáñez,1939-03-24,Tango,02:23,Odeon,Shellac,5604
598,La novena,Rodolfo Biagi y su Orquesta Típica,Teófilo Ibáñez,1939-04-27,Tango,02:15,Odeon,Shellac,5605
599,Dichas que viví,Rodolfo Biagi y su Orquesta Típica,Andrés Falgás,1939-07-13,Vals,02:11,Odeon,Shellac,5606
600,¡Cielo!,Rodolfo Biagi y su Orquesta Típica,Andrés Falgás,1939-09-18,Tango,02:27,Odeon,Shellac,5607
601,Déjame amarte aunque sea un día,Rodolfo Biagi y su Orquesta Típica,Andrés Falgás,1939-09-22,Vals,02:55,Odeon,Shellac,5608
602,Queja indiana,Rodolfo Biagi y su Orquesta Típica,Andrés Falgás,1939-10-26,Tango,02:22,Odeon,Shellac,5609
603,Cicatrices,Rodolfo Biagi y su Orquesta Típica,Andrés Falgás,1940-03-27,Tango,02:16,Odeon,Shellac,5611
604,El estribo,Rodolfo Biagi y su Orquesta Típica,Instrumental,1940-04-12,Tango,02:45,Odeon,Shellac,5612
605,Todo te nombra!,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-06-19,Tango,03:32,Odeon,Shellac,5613
606,Cantando se van las penas,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-06-28,Milonga,01:53,Odeon,Shellac,5615
607,Quiero verte una vez más...,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-07-16,Tango,02:56,Odeon,Shellac,5614
608,Callecita de mi barrio,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-10-04,Tango,02:16,Odeon,Shellac,5616
609,Misa de once,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-10-15,Tango,02:57,Odeon,Shellac,5617
610,No le digas que la quiero,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-12-17,Tango,02:21,Odeon,Shellac,5619
611,Yo también...,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1940-12-26,Tango,02:22,Odeon,Shellac,5618
613,Tierra querida,Raúl Kaplún y su Orquesta,Instrumental,,Tango,02:44,tk,Shellac,S-5009
614,Secreto,Raúl Kaplún y su Orquesta,Reynaldo Arias,,Tango,02:59,tk,Shellac,S-5020
615,La mesa de un cafe,Raúl Kaplún y su Orquesta,Reynaldo Arias,,Tango,02:32,tk,Shellac,S-5024
616,Tierrita,Raúl Kaplún y su Orquesta,Instrumental,,Tango,03:05,tk,Shellac,S-5072
617,Pájaro ciego,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-01-14,Tango,03:15,Odeon,Shellac,5620
618,Humillación,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-03-15,Tango,02:35,Odeon,Shellac,5621
619,Zaraza,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-03-26,Tango,02:35,Odeon,Shellac,5622
620,La marcha nupcial,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-03-26,Tango,02:39,Odeon,Shellac,5623
621,Ya lo ves...,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-07-29,Tango,02:38,Odeon,Shellac,5624
622,Carrillón de la merced,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1941-09-26,Tango,02:25,Odeon,Shellac,5625
623,Quejas de bandoneón,Rodolfo Biagi y su Orquesta Típica,Instrumental,1941-10-07,Tango,02:53,Odeon,Shellac,5626
624,Picante,Rodolfo Biagi y su Orquesta Típica,Instrumental,1941-10-21,Milonga tangueada,02:04,Odeon,Shellac,5627
625,No puede ser,Rodolfo Biagi y su Orquesta Típica,Alberto Lago,1941-12-03,Tango,02:51,Odeon,Shellac,5628
626,Arrebato,Rodolfo Biagi y su Orquesta Típica,Alberto Lago,1942-01-16,Tango,03:07,Odeon,Shellac,5629
627,Sentimiento gaucho,Rodolfo Biagi y su Orquesta Típica,Instrumental,1942-02-02,Tango,02:49,Odeon,Shellac,5630
628,La cumparsita,Rodolfo Biagi y su Orquesta Típica,Instrumental,1942-04-15,Tango,03:12,Odeon,Shellac,5631
629,Amor y vals,Rodolfo Biagi y su Orquesta Típica,Alberto Lago,1942-05-22,Vals,02:42,Odeon,Shellac,5632
630,Catorce primaveras,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1942-08-28,Tango,02:14,Odeon,Shellac,5633
631,La cumparsita,Rodolfo Biagi y su Orquesta Típica,Instrumental,1942-09-10,Tango,03:13,Odeon,Shellac,5634
632,Si de mí te has olvidado,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1942-10-29,Tango,03:16,Odeon,Shellac,5635
633,Pueblito de provincia,Rodolfo Biagi y su Orquesta Típica,Jorge Ortiz,1943-01-15,Tango,03:01,Odeon,Shellac,5636
634,Por algo será,Rodolfo Biagi y su Orquesta Típica,Alberto Amor,1943-03-03,Tango,02:29,Odeon,Shellac,5637
635,A la luz del candil,Rodolfo Biagi y su Orquesta Típica,Carlos Acuña,1943-03-03,Tango,02:33,Odeon,Shellac,5638
636,Canción de rango,Rodolfo Biagi y su Orquesta Típica,Carlos Acuña,1943-04-29,Tango,02:50,Odeon,Shellac,5639
637,Adiós te vas,Rodolfo Biagi y su Orquesta Típica,Carlos Acuña,1943-08-24,Tango,02:11,Odeon,Shellac,5641
638,Si la llegaran a ver,Rodolfo Biagi y su Orquesta Típica,Alberto Amor,1943-12-07,Tango,02:24,Odeon,Shellac,5642
640,Colibriyo,Osvaldo Fresedo y su Orquesta Típica,Roberto Ray,1933-03-16,Tango,03:11,RCA Victor,Shellac,37365
