,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
6075,Sonsa,Tango,1925,Raúl de los Hoyos,Emilio Fresedo,Tango,Carlos Dante,Orquesta,Alfredo De Angelis,30-5-1952 Buenos Aires Odeon 55423-B 18424,,
6076,Sonsa,Tango,1925,Raúl de los Hoyos,Emilio Fresedo,Tango,Instrumental,,Pedro Maffia,3-7-1925 Buenos Aires RCA-Victor 79609 704,,
6077,Sorbos amargos,Tango,,Lucio Demare,"Agustín Irusta, Roberto Fugazot",Tango,Jorge Ledesma,Orquesta,Alberto Mancione,30-3-1951 Buenos Aires RCA-Victor 63-0043-B 94082/1,,
6078,Sorbos amargos,Tango,,Lucio Demare,"Agustín Irusta, Roberto Fugazot",Tango,Juan Carlos Miranda,Orquesta,Lucio Demare,10-11-1942 Buenos Aires Odeon 8059 12342,03:18,2362
6079,Sorpresa,Tango,,Miguel Tanga,Juan Giliberti,Tango,Carlos Aguirre Julián Rosales,Orquesta,Alfredo De Angelis,7-8-1972 Buenos Aires Odeon 51016-A 39679,,
6080,Sos bueno vos también,Tango,,Francisco Canaro,Juan Andrés Caruso,Tango,Julio Martel,Orquesta,Alfredo De Angelis,28-3-1950 Buenos Aires Odeon 30430-A 17597,,
6081,Sos de Chiclana,Tango,,Rafael Rossi,"Alfredo Navarrine, Julio Navarrine",Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,30-3-1927 Buenos Aires 18207 E-472/1,02:06,7078
6082,Sos una bandida,Ranchera,,Orlando Urruspuru,Jesús Fernández Blanco,Ranchera,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6015-A,,
6083,Sos una fiera,Tango,,José Laina,"Víctor Soliño, Roberto Fontaina",Tango,Tita Merello,Orquesta dir:,Adolfo Carabelli,27-5-1929 Buenos Aires RCA-Victor 47094,,
6084,Sos una fiera,Tango,,José Laina,"Víctor Soliño, Roberto Fontaina",Tango,Instrumental,Sexteto,Carlos Di Sarli,11-7-1929 Buenos Aires RCA-Victor 47138 44644,,
6085,Sos una fiera,Tango,,José Laina,"Víctor Soliño, Roberto Fontaina",Tango,Rodolfo Dinzel,Sexteto,Carlos Di Sarli,11-7-1929 Buenos Aires RCA-Victor 47138 44644/1,,
6086,Sos una maquieta,Tango,1929,Rodolfo Sciammarella,Enrique Maroni,Tango,Santiago Devin,Sexteto,Carlos Di Sarli,16-11-1929 Buenos Aires RCA-Victor 47239 44901,02:47,2903
6087,Sosiego en la noche,Tango,1943,Roberto Garza,Carlos Bahr,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,5-11-1943 Buenos Aires RCA-Victor 60-0251 77359,,
6088,Sosiego en la noche,Tango,1943,Roberto Garza,Carlos Bahr,Tango,Carlos Acuña,Orquesta,Rodolfo Biagi,30-5-1944 Buenos Aires Odeon 5645 13811,,
6089,Soy aquel viajero,Tango,,Héctor Grané,Justo Ricardo Thompson,Tango,Alberto Podestá,Orquesta,Carlos Di Sarli,28-5-1947 Buenos Aires RCA-Victor 60-1341 83459,,
6090,Soy cantor [b],Tango,,Marcelo Saraceni,Raimundo Rosales,Tango,Esteban Riera,Orquesta,Vale Tango,2005 Buenos Aires EPSA Music 0612-02,03:25,6316
6091,Soy del noventa,Tango,1943,Tito Ribero,Carlos Waiss,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,27-4-1943 Buenos Aires RCA-Victor 60-0064 84316,,
