,Title,Rhythm,Year of Composition,Music Composer,Lyrics Composer,Genre,Vocalist,Ensemble,Instrumentalist,Recording Info,Duration,File ID
0,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Francisco Fiorentino,Orquesta,Aníbal Troilo,5-11-1943 Buenos Aires RCA-Victor 60-0271 77360,,
1,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Orlando Medina,Orquesta,Ricardo Malerba,8-11-1943 Buenos Aires Odeon 5558 13342,,
2,A bailar,Tango,1943,Domingo Federico,Homero Expósito,Tango,Alfredo Belusi,Orquesta,José Basso,1967 Buenos Aires Music Hall 2136,,
3,A bailarlo,Tango,,José Dames,,Tango,Instrumental,Orquesta,Ricardo Pedevilla,6-5-1952 Buenos Aires Pampa 14035-B,02:53,7051
4,A Belisario Roldán,Tango,,Enrique Forte,,Tango,Instrumental,Orquesta,Pedro Laurenz,25-6-1953 Buenos Aires Pampa 14149 MAI 1163,,
5,A Carlitos Solé,Tango,,Orlando Romanelli,Florencio Napoli Mañosas,Tango,Raúl Soler,Orquesta,Orlando Romanelli,1978 Montevideo,03:53,7028
6,A Cátulo Castillo,Tango,,Eladia Blázquez,Eladia Blázquez,Tango,Susana Rinaldi,Con orquesta,,1976 Buenos Aires Diorama 19.004,05:25,3636
7,A cielo partido,Tango,2008,Marta Pizzo,Marta Pizzo,Tango,Roque Catalano,Orquesta dirigida por:,Gabriel Clenar,2015 Buenos Aires MP 73713,03:01,7541
8,A contramano,Tango,1928,Luis Teisseire,Juan Andrés Caruso,Tango,Carlos Gardel,Guitarras de Aguilar. Barbieri y Ricardo,,1-3-1929 París Odeon 18268 KI-2248/2,01:59,7574
9,A Don Javier,Tango,1984,Roberto Zanoni,Roberto Vidal,Tango,Carlos Boledi,Orquesta,Roberto Zanoni,1985 Buenos Aires Almalí,02:41,7543
10,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,,Orquesta Contratiempo,1-5-2001 Buenos Aires Particular C-CD-01 En vivo,03:53,1743
11,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,26-12-1985 Buenos Aires Odeon En el Colón,,
12,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,26-6-1989 Amsterdam Odeon,,
13,A Evaristo Carriego,Tango,,Eduardo Rovira,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,1969 Buenos Aires Philips 82229 08.1969,,
14,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Osvaldo Piro,7-2-1979 Buenos Aires RCA-Victor AVS-4630,,
15,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Aníbal Troilo,1955 Buenos Aires T.K. S 5420 1086,,
16,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Orquesta,Horacio Salgán,1964 Buenos Aires Philips 8201,03:52,1460
17,A fuego lento,Tango,,Horacio Salgán,,Tango,Instrumental,Quinteto,Osvaldo Piro,1986 Paris Attack Y23,,
18,A Guaminí,Vals,,Nelly Omar,Nelly Omar,Vals,Nelly Omar,Orquesta de cuerdas de,José Canet,1979 Buenos Aires Embassy 90.033,,
19,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Goyeneche,Orquesta,Aníbal Troilo,18-8-1961 Buenos Aires RCA-Victor AVL-3416 2665,,
20,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Rufino,Orquesta,Osvaldo Requena,1973 Buenos Aires Microfón I 457,,
21,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Roberto Achával,Orquesta,Osvaldo Piro,1977 Buenos Aires RCA-Victor AVS-4489,,
22,A Homero,Tango,,Aníbal Troilo,Cátulo Castillo,Tango,Instrumental,Guitarra de:,Analía Rego,2000 Buenos Aires Analia Rego AGR682,02:46,7165
23,A Horacio Salgán,Tango,,Edgardo Pedroza,,Tango,Instrumental,Orquesta,Puglia-Pedroza,1956 Montevideo Sondor,03:23,7195
24,A la criolla,Tango,,Francisco García Jiménez,Anselmo Aieta,Tango,Instrumental,Orquesta,Alfredo De Angelis,15-8-1961 Buenos Aires Odeon 55554-B 26776,,
25,A la D'Arienzo,Tango,1968,José Reschini,,Tango,Instrumental,Orquesta,Juan D'Arienzo,13-9-1968 Buenos Aires RCA-Victor AVL-3819 RAAN-8298,02:05,7450
26,A la deriva,Tango,1931,Julio Pollero,Luis Coraggio,Tango,Rafael Cisca,Orquesta,Pedro Maffia,1931 Buenos Aires Columbia Record 6034-A,,
27,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Alfredo De Angelis,28-7-1961 Buenos Aires Odeon 52733-B 26695,,
28,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,29-8-1945 Buenos Aires RCA-Victor 60-0792 80831,,
29,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,30-6-1954 Buenos Aires RCA-Victor 60-1717 S2651,,
30,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Jorge Omar,Orquesta,Francisco Lomuto,15-1-1936 Buenos Aires RCA-Victor 37871 93079,02:58,2346
31,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Roberto Arrieta,Orquesta,Miguel Caló,5-1-1948 Buenos Aires Odeon 30021 16832,,
32,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Rodolfo Biagi,13-4-1950 Buenos Aires Odeon 55099 17620,,
33,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,Orquesta,Carlos Di Sarli,1951 Buenos Aires Music Hall 1001-B BA 1001,02:40,1281
34,A la gran muñeca,Tango,1920,Jesús Ventura,Miguel Osés,Tango,Instrumental,El cuatro de Pepe Basso-Dir:,José Basso,1970 Japón Music Hall 70730,,
35,A la Guardia Imperial,Tango,,José Colángelo,,Tango,Instrumental,Sexteto,José Colángelo,1994 Buenos Aires DBN CD-51.292,03:40,1142
36,A la Guardia Nueva,Tango,,Aníbal Troilo,,Tango,Instrumental,,Aníbal Troilo,1955 Buenos Aires T.K. SF30010 1012,,
37,A la Guardia Nueva,Tango,,Aníbal Troilo,,Tango,Instrumental,,Osvaldo Montes,1990 Alemania Audité 95.418,02:45,6377
38,A la lima y al limón,Vals,,Rafael De León,Manuel López Quiroga,Vals,Guillermo Rico,Orquesta,Francisco Canaro,6-12-1944 Buenos Aires Odeon 5258 14287,,
39,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,22-7-1927 Buenos Aires Odeon 18216 1041/1,02:10,1448
40,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Jorge Durán,Orquesta,Carlos Di Sarli,27-9-1956 Buenos Aires RCA-Victor 1A-1074 S5143,,
41,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Miguel Montero,Orquesta,Osvaldo Pugliese,14-7-1954 Buenos Aires Odeon 55978 19577,,
42,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Roberto Rufino,Orquesta,Raúl Garello,9-11-1970 Buenos Aires RCA-Victor CAL-3279 10863,,
43,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Ortega,Orquesta,Ricardo Tanturi,23-6-1937 Buenos Aires Odeon 7130 9078,,
44,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Acuña,Orquesta,Rodolfo Biagi,3-3-1943 Buenos Aires Odeon 5638 12625,,
45,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Mario Pomar,Orquesta,Carlos Di Sarli,1952 Buenos Aires Music Hall 1009A BA 1015,,
46,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Jorge Durán,Orquesta,José Basso,1962 Buenos Aires Music Hall 12239,,
47,A la luz del candil,Tango,1927,Carlos Vicente Geroni Flores,Julio Navarrine,Tango,Carlos Bermúdez,,,1970 Ecuador Fadisal,,
48,A la mujer argentina,Tango,,Alejandro Romay,Alejandro Romay,Tango,Floreal Ruiz,Orquesta,José Basso,26-7-1956 Buenos Aires Odeon 51975 21164,,
49,A la mujer argentina,Tango,,Alejandro Romay,Alejandro Romay,Tango,Nina Miranda,,Fernando Córdoba,1957 Buenos Aires Odeon,,
50,A la parrilla,Tango,,Carlos Figari,,Tango,Instrumental,Orquesta,Aníbal Troilo,30-6-1949 Buenos Aires RCA-Victor 60-1805 91321,,
51,A la voz de aura,Ranchera,,Benito Varela,,Ranchera,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Brunswick 1422-A,,
52,A la voz de aura,Ranchera,,Benito Varela,,Ranchera,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6020-A,,
53,A las estrellas,Tango,,Armando Baliotti,,Tango,Instrumental,Orquesta,Miguel Caló,7-6-1963 Buenos Aires Odeon LDI-545 29199,,
54,A las siete en el café,Tango,,Armando Baliotti,Santiago Adamini,Tango,Raúl Aldao,Orquesta,Ángel D'Agostino,10-8-1943 Buenos Aires RCA-Victor 60-0133 77138,,
55,A las siete en el café,Tango,,Armando Baliotti,Santiago Adamini,Tango,Jorge Ortiz,Orquesta,Miguel Caló,20-1-1943 Buenos Aires Odeon 8373 12498,03:07,1458
56,A Leopoldo Federico,Tango,,"Ana María Marzábal, Oscar Fresedo","Ana María Marzábal, Oscar Fresedo",Tango,Carlos Morel,L. Federico-J. Colángelo-Mony López,,2009 Buenos Aires EPSA Music 1112-02,03:34,7097
57,A Leopoldo Federico,Tango,,"Ana María Marzábal, Oscar Fresedo","Ana María Marzábal, Oscar Fresedo",Tango,Ana María Marzábal,Bandoneón de,Leopoldo Federico,2012 Buenos Aires Fonocal,03:56,7225
58,A lo Megata,Tango,,Edmundo Rivero,Luis Alposta,Tango,Ikuo Abo,Orquesta,José Colángelo,1987,02:24,506
59,A lo mejor quién te dice,Tango,,Domingo Varela Conte,Celedonio Flores,Tango,Alfredo Rojas,Orquesta,José García,27-10-1942 Buenos Aires Odeon 7406 12311,,
60,A los amigos,Tango,,Armando Pontier,,Tango,Instrumental,Orquesta,Francini-Pontier,1-6-1950 Buenos Aires RCA-Victor 60-1980 93742,03:27,1522
61,A los amigos,Tango,,Armando Pontier,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,15-7-1960 Buenos Aires Odeon 52629 25554,,
62,A los amigos bandoneonistas,Tango,,"Roberto Pérez Prechi, Ernesto Baffa",,Tango,Instrumental,Cuarteto,Roberto Pérez Prechi,Buenos Aires,03:09,6386
63,A los artistas plásticos,Tango,,Osvaldo Pugliese,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,1964 Buenos Aires Philips 82081 10.1965,,
64,A los payadores,Vals,,Gabriel Clausi,Mario César Gomila,Vals,Nelly Omar,Con guitarras,,12-11-1997 Buenos Aires Magenta 512.510,,
65,A Magaldi,Vals,,"Carlos Dante, Pedro Noda",Juan Tiggi,Vals,Carlos Dante Julio Martel,Orquesta,Alfredo De Angelis,21-10-1947 Buenos Aires Odeon 30411-B 16757,,
66,A Martín Fierro,Tango,,Francisco Federico,,Tango,Instrumental,Orquesta,Miguel Caló,18-3-1943 Buenos Aires Odeon 8375 12652,,
67,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Instrumental,Orquesta,Alfredo De Angelis,16-8-1956 Buenos Aires Odeon 52017-B 21236,,
68,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Instrumental,Orquesta,Alfredo Gobbi,30-6-1955 Buenos Aires RCA-Victor 68-2162 SO4062,,
69,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Nina Miranda,Orquesta,Donato Racciatti,Montevideo Sondor,,
70,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Francisco Fiorentino,Orquesta,José Basso,16-9-1949 Buenos Aires Odeon 30754 17423,,
71,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Instrumental,Cuarteto,Juan Cambareri,Buenos Aires Music Hall,02:20,628
72,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Instrumental,Orquesta,Miguel Caló,24-4-1964 Buenos Aires Odeon DTOA-2097 30048,,
73,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,1926 Buenos Aires Odeon 18179 4338,01:59,1368
74,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Raúl Del Mar Héctor Gagliardi,Orquesta,Miguel Caló,1965 Colombia,,
75,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Lucho Gatica,Orquesta,Miguel Caló,1965 Chile Odeon LDM-8166,,
76,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Instrumental,Orquesta,José Basso,1970 Buenos Aires Almalí 30007,,
77,A media luz,Tango,1924,Edgardo Donato,Carlos Lenzi,Tango,Enzo Valentino,Orquesta,Jorge Dragone,1995 Buenos Aires EMI 854008-2 (CD),,
78,A mi barrio,Tango,,Miguel Ángel Córdoba,Norma Montenegro,Tango,Miguel Ángel Córdoba,Con guitarra y bandoneón,,2012 Buenos Aires Independiente,02:44,7191
79,A mi calle,Tango,1994,Quique Rassetto,Marta Pizzo,Tango,Alejandro D'Angelo,Guitarra de,Quique Rassetto,2011 Buenos Aires,03:06,7127
80,A mí dejame en mi barrio,Tango,,Francisco Amor,Francisco Amor,Tango,Juan Carlos Casas,Orquesta,Pedro Laurenz,20-10-1942 Buenos Aires RCA-Victor 39635 84011,,
81,A mi esposa (Para Manuela),Tango,,Luis Stazo,,Tango,Instrumental,Trío StazoMayor-,Luis Stazo,2007 Alemania Fearless Records F-2007002,02:47,6364
82,A mi hijo [b],Tango,,Georgina Vargas,Georgina Vargas,Tango,Georgina Vargas,Conjunto,Georgina Vargas,Buenos Aires,02:50,7442
83,A mi madre (Con los amigos),Canción,,"Carlos Gardel, José Razzano",Sebastián Alfredo Robles,Canción,Carlos Gardel,"Guitarras de Aguilar, Barbieri y Riverol",,22-5-1930 Buenos Aires Odeon 18817 5615/1,03:00,3696
84,A mi madre (Con los amigos),Canción,,"Carlos Gardel, José Razzano",Sebastián Alfredo Robles,Canción,Alberto Castillo,Orquesta,Ricardo Tanturi,2-3-1943 Buenos Aires RCA-Victor 60-0025 84241,,
85,A mi madre [b],Vals,,Francisco Peña,Francisco Peña,Vals,Roberto Rufino,Orquesta,Francini-Pontier,10-5-1948 Buenos Aires RCA-Victor 60-1592 83914,02:41,2805
86,A mí me copa el tango,Tango,,Diana Mireya Claret,Renée Carmen Díaz,Tango,Abel Córdoba,Orquesta,Osvaldo Pugliese,15-11-1982 Buenos Aires Odeon 46582,,
87,"A mí me gusta, ¿a usted?",Tango,,"Miguel Caló, Orlando Trípodi",,Tango,Instrumental,Orquesta,Miguel Caló,1972 Buenos Aires Embassy 70001,,
88,A mí me llaman Juan Tango,Tango,1944,Tito Ribero,Carlos Waiss,Tango,Roberto Rufino,Orquesta,Carlos Di Sarli,4-11-1943 Buenos Aires RCA-Victor 60-0266 77351,,
89,A mí me llaman Juan Tango,Tango,1944,Tito Ribero,Carlos Waiss,Tango,Raúl Iriarte,Orquesta,Miguel Caló,23-11-1943 Buenos Aires Odeon 8382 13288,,
90,A mí no me den consejos,Tango,1930,"Francisco Canaro, Luis Riccardi",Juan Andrés Caruso,Tango,Charlo,Orquesta,Francisco Canaro,16-3-1930 Buenos Aires Odeon 16246 5239,02:48,2663
91,A mí no me hablen de tango,Tango,,Juan José Paz,José María Contursi,Tango,Roberto Goyeneche,Orquesta,Aníbal Troilo,23-4-1963 Buenos Aires RCA-Victor 31A 4209 3796,,
92,A mí no me hablen de tango,Tango,,Juan José Paz,José María Contursi,Tango,Tita Merello,Orquesta,Carlos Figari,22-10-1969 Buenos Aires Odeon,,
93,A mí no me hablen de tango,Tango,,Juan José Paz,José María Contursi,Tango,Esteban Riera,Orquesta,Richard Cappz,2015 Buenos Aires Riera & Groppo,03:08,7475
94,A mí no me hablen de tango,Tango,,Juan José Paz,José María Contursi,Tango,Alberto Hidalgo,Orquesta,Osvaldo Piro,1968 Buenos Aires Philips 82225,,
95,A mí no me interesa,Tango,,Marcos Larrosa,Alfredo Defilpo,Tango,Andrés Falgás,Orquesta,Rodolfo Biagi,12-4-1940 Buenos Aires Odeon 5612 10407,,
96,A mi padre,Vals,1955,Héctor Marcó,Héctor Marcó,Vals,Oscar Larroca,Orquesta,Alfredo De Angelis,2-11-1955 Buenos Aires Odeon 51828-B 20541,,
97,A mi vieja,Tango,,Juan Carlos Cañete Munho,Juan Carlos Cañete Munho,Tango,Armando Laborde,Orquesta,Juan D'Arienzo,27-8-1968 Buenos Aires RCA-Victor AVL-3819 RAAN-8271,,
98,A mi violín corneta,Tango,1975,Julio De Caro,Cátulo Castillo,Tango,Marcelo Biondini,Orquesta,Luis Stazo,1975 Buenos Aires Fermata SLF-2005,02:33,7223
99,A mi zaino (Biguá),Tango,,Domingo Santa Cruz,,Tango,Instrumental,Orquesta,José Arturo Severino,1918 Buenos Aires Victor 69723,03:00,7006
100,A mis compañeros,Tango,,Osvaldo Ruggiero,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,31-1-1956 Buenos Aires Odeon 51883 20770,,
101,A mis manos,Milonga,,Alfredo Gobbi,Julio Camilloni,Milonga,Alfredo Del Río,Orquesta,Alfredo Gobbi,28-3-1955 Buenos Aires RCA-Victor 68-2061 SO3756,04:03,1945
102,A mis pagos voy,Tango,,Luis Savastano,Eduardo Pedrotta,Tango,Alfredo Belusi Carlos Rossi,Orquesta,José Basso,1967 Buenos Aires Music Hall 2045,,
103,A mis viejos,Tango,,Osvaldo Berlingieri,,Tango,Instrumental,Orquesta,Aníbal Troilo,25-4-1963 Buenos Aires RCA-Victor AVL-3461 3809,,
104,A mis viejos,Tango,,Osvaldo Berlingieri,,Tango,Instrumental,Cuarteto,Luis Rizzo,1990 Italia Materiali Sonori 90025,03:55,7217
105,A mucha honra,Tango,,"Américo Pinella, Luis Stazo",Ernesto Cardenal,Tango,Luis Correa,Orquesta,Miguel Caló,4-12-1963 Buenos Aires Odeon DTOA-2083 29702,,
106,A mucha honra,Tango,,"Américo Pinella, Luis Stazo",Ernesto Cardenal,Tango,Luis Correa,Orquesta,Miguel Caló,4-12-1963 Buenos Aires Odeon DTOA-2083 29702,,
107,A otra cosa che pebeta,Tango,,Ricardo Tanturi,Enrique Cadícamo,Tango,Alberto Castillo,Orquesta,Ricardo Tanturi,2-3-1943 Buenos Aires RCA-Victor 60-0014 84240,,
108,A pan y agua,Tango,,Juan Carlos Cobián,Enrique Cadícamo,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,2-10-1945 Buenos Aires RCA-Victor 60-0769 80833,03:17,649
109,A pan y agua,Tango,,Juan Carlos Cobián,Enrique Cadícamo,Tango,Ángel Vargas,Orquesta Ángel Vargas dir:,Armando Lacava,26-1-1953 Buenos Aires RCA-Victor 68-0573 SO-0367,,
110,A Pedro Maffia,Tango,,Aníbal Troilo,,Tango,Instrumental,Cuarteto,Aníbal Troilo,11-9-1968 Buenos Aires RCA-Victor AVL-3871 8301,,
111,A Pedro Maffia,Tango,,Aníbal Troilo,,Tango,Instrumental,,Aníbal Troilo,1953 Buenos Aires T.K. SF30004 637,02:52,1740
112,A pesar de todo [b],Canción,,Eladia Blázquez,Eladia Blázquez,Canción,Marián Farías Gómez,Con acompañamiento de cuarteto,,2016 Buenos Aires Acqua Records AQ469,02:29,7637
113,A qué has venido,Tango,,Juan Epumer,Emilio Magaldi,Tango,Luis Díaz,Orquesta,Ricardo Brignolo,Buenos Aires Brunswick 1915,03:23,7052
114,A quién le puede importar,Tango,,Mariano Mores,Enrique Cadícamo,Tango,Ángel Vargas,Orquesta,Ángel D'Agostino,7-8-1945 Buenos Aires RCA-Victor 60-0749 80758,,
115,A quién le puede importar,Tango,,Mariano Mores,Enrique Cadícamo,Tango,Floreal Ruiz,Orquesta Típica Porteña,Raúl Garello,1977 Buenos Aires RCA-Victor,03:12,497
116,A Roberto Peppe,Tango,,Esteban Gilardi,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,20-3-1956 Buenos Aires Odeon 51912 20836,,
117,A San Telmo,Tango,,"Roberto Grela, Héctor Ayala",,Tango,Instrumental,,Mirta Alvarez,2006 Buenos Aires Nuestras Guitarras NG007,02:26,5134
118,A seguirla bandoneón,Tango,,"Víctor D'Amario, Alfredo Dalton",Jorge Moreira,Tango,Alfredo Dalton,Orquesta,Víctor D'Amario,1986 Buenos Aires Almalí 25034,02:30,1122
119,A su memoria,Vals,,Antonio Sureda,Homero Manzi,Vals,Carlos Dante,Orquesta,Alfredo De Angelis,23-4-1947 Buenos Aires Odeon 30407-B 16412,,
120,A su memoria,Vals,,Antonio Sureda,Homero Manzi,Vals,Santiago Devin,Trío,Antonio Sureda,17-12-1931 Buenos Aires Odeon 7890,02:52,3799
121,A su memoria,Vals,,Antonio Sureda,Homero Manzi,Vals,Roberto Rufino,Orquesta,Francini-Pontier,5-3-1947 Buenos Aires RCA-Victor 60-1246 83300,,
122,A suerte y verdad,Tango,1944,Carlos Parodi,Carlos Waiss,Tango,Carlos Acuña,Orquesta,Rodolfo Biagi,11-8-1944 Buenos Aires Odeon 5646 14023,,
123,A través de los años,Tango,,Pedro Maffia,Homero Manzi,Tango,Félix Gutiérrez,Orquesta,Pedro Maffia,4-10-1934 Buenos Aires RCA-Victor 37662,02:06,4522
124,A tu memoria madrecita,Vals,,Alberto Cosentino,Alberto Cosentino,Vals,Juan Carlos Godoy,Orquesta,Alfredo De Angelis,20-11-1959 Buenos Aires Odeon 52587-A 24729,,
125,A tu recuerdo,Tango,,Guillermo Vilar,Pedro Blasco,Tango,Carlos Dante,Orquesta,Alfredo De Angelis,25-11-1954 Buenos Aires Odeon 51641-A 19824,,
126,A un artista del pueblo,Tango,,Arturo Penón,,Tango,Instrumental,Orquesta,Osvaldo Pugliese,3-6-1980 Buenos Aires Odeon 6160 45262,,
127,A un gran amor,Tango,,Wenceslao Cinosi,Carlos Russo,Tango,Carlos Aguirre,Orquesta,Alfredo De Angelis,25-4-1971 Buenos Aires Odeon 51016-B 39280,,
128,A un semejante,Tango,,Eladia Blázquez,Eladia Blázquez,Tango,María José Mentana,Conjunto,Mario Menéndez,3-7-1998 Caracas RO&FC GV-990353,03:37,2029
129,A una mujer,Vals,,Horacio Salgán,Carmelo Volpe,Vals,Carmen Duval,Con orquesta,,1-7-1940 Buenos Aires RCA-Victor 39018,,
130,A una mujer,Vals,,Horacio Salgán,Carmelo Volpe,Vals,Roberto Rufino,Orquesta,Raúl Garello,26-10-1970 Buenos Aires RCA-Victor CAL-3279 10852,,
131,A unos ojos,Vals,,"Hernán Videla Flores, Carlos Montbrun Ocampo",Hernán Videla Flores,Vals,Edmundo Rivero Aldo Calderón,Orquesta,Aníbal Troilo,31-3-1949 Buenos Aires RCA-Victor 60-1782 91268,,
132,A unos ojos,Vals,,"Hernán Videla Flores, Carlos Montbrun Ocampo",Hernán Videla Flores,Vals,Guillermo Rico,Guitarras,José Canet,1973 Buenos Aires RCA-Victor,,
133,A unos ojos,Vals,,"Hernán Videla Flores, Carlos Montbrun Ocampo",Hernán Videla Flores,Vals,Rosanna Falasca,Cuarteto,Orlando Trípodi,1982 Buenos Aires Polydor,,
134,A unos ojos,Vals,,"Hernán Videla Flores, Carlos Montbrun Ocampo",Hernán Videla Flores,Vals,Jorge Dobalo,Bandoneon de,Antonio Pisano,2005 Buenos Aires Particular,02:45,6433
135,A usted señorita,Tango,1966,Osvaldo Rizzo,Félix Rosario Arena,Tango,Alberto Cuello,Orquesta,Alfredo De Angelis,31-10-1966 Buenos Aires Odeon 2205-B 32951,,
136,A Villoldo,Tango,,Armando Lacava,,Tango,Instrumental,Orquesta,Miguel Caló,15-5-1969 Buenos Aires Odeon LDB-175 35750,,
137,Abandonada,Tango,,Francisco Canaro,Manuel Romero,Tango,Ernesto Famá,Orquesta,Francisco Canaro,11-9-1939 Buenos Aires,02:50,588
138,Abandono,Tango,,Pedro Maffia,Homero Manzi,Tango,Mercedes Simone,,,29-3-1938 Buenos Aires Odeon,03:10,1425
139,Abandono,Tango,,Pedro Maffia,Homero Manzi,Tango,Héctor Farrel,Orquesta,Pedro Laurenz,24-9-1937 Buenos Aires RCA-Victor 38284 93914,,
140,Abandono,Tango,,Pedro Maffia,Homero Manzi,Tango,Oscar Alonso,Orquesta,Carlos García,1974 Buenos Aires RCA-Victor LZ-1299 CAAY-4426,,
141,Abransen las pulperías,Tango,,"Ángel D'Agostino, Alfredo Attadía",Mario Soto,Tango,Tino García,Orquesta,Ángel D'Agostino,20-8-1952 Buenos Aires RCA-Victor 68-0376 SO-0066,,
142,Abrazo fraternal,Tango,,Arturo Penón,Vicente Demarco,Tango,Jorge Maciel Abel Córdoba,Orquesta,Osvaldo Pugliese,1964 Buenos Aires Philips 82081 10.1965,,
143,Abril en mi ciudad,Tango,,Emilio Balcarce,Eladia Blázquez,Tango,Eladia Blázquez,Orquesta,Raúl Garello,Buenos Aires EMI-Odeon,03:20,3833
144,Absurdo,Vals,,Virgilio Expósito,Homero Expósito,Vals,Adriana Varela,Guitarras,Juanjo Domínguez,1998 Buenos Aires ND CDND-447 Más tango,,
145,Absurdo,Vals,,Virgilio Expósito,Homero Expósito,Vals,Celia Saia,,,2004 Buenos Aires Particular 28424,02:27,6287
146,Abuela,Tango,,Hipólito Caron,Ricardo Otero,Tango,Juan Carlos Godoy Lalo Martel,Orquesta,Alfredo De Angelis,21-12-1959 Buenos Aires Odeon 52567-B 24826,,
147,Abuelito,Tango,1926,Alberto Laporte,"Carlos Cabral, Eduardo Trongé",Tango,Julio Sosa,Orquesta,Armando Pontier,28-9-1957 Buenos Aires CBS-Columbia 8511 1245,,
148,Abuelito,Tango,1926,Alberto Laporte,"Carlos Cabral, Eduardo Trongé",Tango,Carlos Gardel,Guitarras de Barbieri y Ricardo,,18-2-1927 Buenos Aires Odeon 18203-B E-275/1,02:29,7291
149,Aclaremos,Tango,,José Raúl Iglesias,José Raúl Iglesias,Tango,Armando Laborde,Orquesta,Juan D'Arienzo,23-8-1956 Buenos Aires RCA-Victor 1A-1065 5086,,
150,Acompañada y sola,Canción,,Chico Novarro,Chico Novarro,Canción,Laura Del Río,Guitarra de,Mony López,2009 Buenos Aires,03:46,7649
151,Aconsejando,Tango,,Fortunata Levantón Rodiño,J. A. Piaggio,Tango,Roberto Luque,Orquesta,Miguel Caló,4-12-1963 Buenos Aires Odeon DTOA-2083 29701,,
152,Acordándome de vos,Vals,,Aníbal Troilo,Enrique Dizeo,Vals,Francisco Fiorentino,Orquesta,Aníbal Troilo,23-7-1942 Buenos Aires RCA-Victor 39675 69824,,
153,Acordate de tu vieja,Tango,,Alberto Tavarozzi,,Tango,Instrumental,Orquesta,Pedro Maffia,1930 Buenos Aires Columbia Record 6010-A,,
154,Acordes porteños,Tango,,Francisco Laino,Francisco Laino,Tango,Julio Martel,Orquesta,Alfredo De Angelis,4-5-1945 Buenos Aires Odeon 3784-A 14607,,
