,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
725,Barrio viejo del ochenta,Orquesta Domingo Federico,Enzo Valentino,1950-08-25,Buenos Aires,Milonga,Enrique Maciel,Héctor Blomberg,,RCA-Victor 60-2111 93837,2993
728,Barro,Orquesta Osvaldo Pugliese,Alberto Morán,1951-05-22,Buenos Aires,Tango,Osvaldo Pugliese,Horacio Sanguinetti,,Odeon 55243 18024,43
729,Barro,Orquesta Osvaldo Pugliese,Alberto Morán,1952-12-03,Buenos Aires,Tango,Osvaldo Pugliese,Horacio Sanguinetti,,Odeon 55539 18024/1,
731,Batallón de solteros,Orquesta José García,Alfredo Rojas,1942-04-17,Buenos Aires,Marcha corrido,Sergio Ala,Mario Battistella,,Odeon 7402 11948,
733,Bebiendo contigo,Orquesta Miguel Caló,Alberto Podestá,1963-04-23,Buenos Aires,Tango,Enrique Francini,Carlos Bahr,,Odeon LDI-545 28920,
734,Belén,Sexteto Carlos Di Sarli,Instrumental,1929-10-09,Buenos Aires,Tango,Augusto Berto,,,RCA-Victor 47226 44835,
735,Bélgica,Orquesta Rodolfo Biagi,Instrumental,1942-01-20,Buenos Aires,Tango,Enrique Delfino,,,Odeon 5629 11631,
736,Bendición,Orquesta Cayetano Puglisi,Instrumental,1929-08-05,Buenos Aires,Tango,"Pascual Storti, Federico Scorticati",,,,6916
737,Bendición de amor,Orquesta Alfredo De Angelis,Carlos Aguirre,1968-10-30,Buenos Aires,Tango,Alberto Nery,Gino Tombesi,,Odeon 7295-B 35252,
738,Benguria,Orquesta Juan D'Arienzo,Instrumental,1966-08-03,Buenos Aires,Tango,Roberto Firpo,,,RCA-Victor AVL-3705 RAAN-6163,1464
739,Berretín,Orquesta Osvaldo Pugliese,Instrumental,1979-12-27,Buenos Aires,Tango,Pedro Laurenz,Enrique Cadícamo,1928,Odeon 6160 45052,
744,Bésame en la boca,Orquesta Alfredo De Angelis,Carlos Dante,1950-05-19,Buenos Aires,Tango,José María Rizzuti,Eduardo Calvo,1926,Odeon 55104-A 17659,
745,Bésame en la boca,Orquesta Ángel Vargas dir: Armando Lacava,Ángel Vargas,1953-01-26,Buenos Aires,Tango,José María Rizzuti,Eduardo Calvo,1926,RCA-Victor 68-0574 SO-0369,
747,Besos brujos,Orquesta Alfredo Malerba,Libertad Lamarque,1937-05-28,Buenos Aires,Tango,"Alfredo Malerba, Rodolfo Sciammarella","Alfredo Malerba, Rodolfo Sciammarella",1937,Victor 38209,779
748,Besos brujos,Orquesta Ricardo Tanturi,Elsa Rivas,1956-10-22,Buenos Aires,Tango,"Alfredo Malerba, Rodolfo Sciammarella","Alfredo Malerba, Rodolfo Sciammarella",1937,RCA-Victor 68-2475 SO5172,
752,Betinoti,Orquesta Alfredo Attadía,Enzo Valentino,1952-10-28,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1939,Pathé,
756,Bien bohemio,Orquesta Francisco Rotundo,Julio Sosa,1954-04-12,Buenos Aires,Tango,"Ernesto Rossi, Juan Pomati",Sara Rainer,,Pampa 14097 MAI-1330,780
757,Bien compadre,Orquesta Osvaldo Pugliese,Instrumental,1949-09-27,Buenos Aires,Tango,Emilio Balcarce,,,Odeon 30606 17434,
759,Bien criolla y bien porteña,Orquesta Miguel Caló,"Raúl Iriarte, Luis Tolosa",1945-03-09,Buenos Aires,Milonga,Armando Pontier,Homero Expósito,1945,Odeon 8398 14469,
760,Bien criolla y bien porteña,Orquesta Ricardo Tanturi,Enrique Campos,1945-07-13,Buenos Aires,Milonga,Armando Pontier,Homero Expósito,1945,RCA-Victor 60-0732 80723,
766,Bien frappé,,Hugo Del Carril,1942-01-05,Buenos Aires,Tango,Carlos Di Sarli,Héctor Marcó,,RCA-Victor 39508 59982,7504
767,Bien frappé,Orquesta Carlos Di Sarli,Roberto Rufino,1941-05-20,Buenos Aires,Tango,Carlos Di Sarli,Héctor Marcó,,RCA-Victor 39295 39894,
768,Bien frappé,Orquesta Carlos Di Sarli,Mario Pomar,1954-08-31,Buenos Aires,Tango,Carlos Di Sarli,Héctor Marcó,,RCA-Victor 1A-0133 S2798,
769,Bien jaileife,Orquesta Alberto Mancione,Héctor Alvarado,1955-06-03,Buenos Aires,Tango,Vicente Demarco,"Silvio Marinucci, Oscar Lucchesi",,RCA-Victor,2018
770,Bien jaileife,Orquesta Miguel Caló,Carlos Almagro,1955-06-07,Buenos Aires,Tango,Vicente Demarco,"Silvio Marinucci, Oscar Lucchesi",,Odeon 51752 20220,
771,Bien milonga,Orquesta Osvaldo Pugliese,Instrumental,1951-07-31,Buenos Aires,Tango,Ismael Spitalnik,,,Odeon 55280 18136,
774,Bien porteño,Orquesta Aníbal Troilo,Instrumental,1944-03-30,Buenos Aires,Tango,"Gregorio Suriff, Alberto Barbera","Gregorio Suriff, Alberto Barbera",,RCA-Victor 60-0406 79599,
