,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
987,Canaro en Japón,Orquesta Juan Canaro,Instrumental,1954-10-04,Tokio,Tango,Francisco Canaro,Julián Porteño,,Melopea CDMSE 5108,6293
988,Canaro en París,Orquesta Alfredo De Angelis,Instrumental,1976-09-24,Buenos Aires,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,Odeon 6505-A 43132,
989,Canaro en París,Pepe y su cuarteto loco-Dir: José Basso,Instrumental,,,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,,
990,Canaro en París,Orquesta Osvaldo Pugliese,Instrumental,1949-11-28,Buenos Aires,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,Odeon 30607 17500,
991,Canaro en París,Orquesta Osvaldo Pugliese,Instrumental,1965,BUENOS AIRES,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,Philips 82119 10.1966,
992,Canaro en París,Orquesta José Basso,Instrumental,1970,Japón,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,Music Hall 70730,1382
993,Canaro en París,Orquesta Jorge Dragone,Enzo Valentino,1995,Buenos Aires,Tango,"Juan Caldarella, Alejandro Scarpino",José Scarpino,,EMI 854008-2 (CD),
994,Canchero,,Carlos Gardel,1930-05-27,Buenos Aires,Tango,Arturo De Bassi,Celedonio Flores,1930,Odeon 18820 5634,1421
995,Canchero,Orquesta Leopoldo Federico,Julio Sosa,1962-05-03,Buenos Aires,Tango,Arturo De Bassi,Celedonio Flores,1930,CBS-Columbia 8340 2948,
996,Canción celestial,Orquesta Astor Piazzolla,María de la Fuente,1951,Buenos Aires,Vals,Carlos Figari,José Rótulo,,TK,
997,Canción de Ave María,Orquesta Aníbal Troilo,Nelly Vázquez,1965-09-24,Buenos Aires,Tango,Héctor Stamponi,Cátulo Castillo,,RCA-Victor AVL-3632 5373,
998,Canción de Ave María,Orquesta José Basso,"Alfredo Belusi, Héctor De Rosas",1964,Buenos Aires,Tango,Héctor Stamponi,Cátulo Castillo,,Music Hall 12487 30280,
999,Canción de cuna,,Carlos Gardel,1928-09-06,Buenos Aires,Tango,José María Rizzuti,José Diez Gómez,1928,Odeon 18241 E-2965/3,1867
1000,Canción de cuna,Orquesta Graciano Gómez,Nina Miranda,1956,Buenos Aires,Tango,José María Rizzuti,José Diez Gómez,1928,Odeon,
1001,Canción de los pescadores,Orquesta Juan Cao,"Nina Miranda, Alberto Bianchi",1947,Montevideo,Canción,Eduardo García Lalane,Miguel Buranelli,,Sondor,
1002,Canción de rango (Pa' que se callen),Orquesta Lucio Demare,Roberto Arrieta,1942-11-10,Buenos Aires,Tango,Raúl Kaplún,José María Suñé,1942,Odeon 8059 12343,
1003,Canción de rango (Pa' que se callen),Orquesta Miguel Caló,Roberto Rufino,1966-10-03,Buenos Aires,Tango,Raúl Kaplún,José María Suñé,1942,Odeon LDB-114 32825,2752
1004,Canción de rango (Pa' que se callen),Orquesta Miguel Caló,Roberto Rufino,1966-10-03,Buenos Aires,Tango,Raúl Kaplún,José María Suñé,1942,Odeon LDB-114 32825,2752
